Gene_A	Gene_B	Score
MYOC	WIF1	0.506
MYOC	ANGPTL7	0.651
MYOC	PITX2	0.66
OTC	ARSH	0.415
CPB2	PCSK2	0.412
CPB2	C8B	0.716
CPB2	APOH	0.747
CPB2	F11	0.763
APOH	F11	0.488
APOH	CLEC3B	0.507
APOH	PF4	0.763
MMP11	MMP13	0.443
MMP11	COL11A1	0.732
MMP11	MMP1	0.772
MIOX	AKR1B10	0.82
CYP24A1	CYP17A1	0.638
CYP24A1	CA4	0.77
CYP24A1	CA9	0.784
CST4	CST1	0.929
SGCG	GP9	0.54
SGCG	CAV3	0.882
RETN	MMP3	0.41
RETN	AGRP	0.432
RETN	SFRP5	0.436
RETN	CHIA	0.447
RETN	CEACAM8	0.459
RETN	MCEMP1	0.568
RETN	FABP4	0.646
RETN	ITLN1	0.777
CSF3	MMP1	0.421
CSF3	PPBP	0.422
CSF3	PF4	0.445
CSF3	IL36RN	0.471
CSF3	CEACAM8	0.519
CSF3	MMP12	0.55
CSF3	IL36G	0.558
CSF3	FGF10	0.61
CSF3	MMP3	0.648
CSF3	IL22RA2	0.679
IBSP	COL11A1	0.43
IBSP	IHH	0.518
IBSP	ODAM	0.518
IBSP	MMP13	0.682
IBSP	MMP3	0.922
C6orf118	TEKT1	0.424
C6orf118	ADGB	0.471
RBP2	AKR1B10	0.448
RBP2	STRA6	0.587
TNNC1	ANKRD1	0.425
TNNC1	MYH2	0.593
KISS1R	AGRP	0.412
KISS1R	IHH	0.426
KISS1R	NPSR1	0.432
KISS1R	AGTR2	0.503
KISS1R	NMU	0.557
HOXC13	LHX2	0.47
HOXC13	HOXC11	0.605
HOXC13	HOXC10	0.709
CEACAM8	FOLR3	0.42
GNGT1	AGTR2	0.541
GNGT1	NMU	0.563
GNGT1	ADRA1A	0.576
GNGT1	NPSR1	0.607
GNGT1	CHRM2	0.653
GNGT1	CACNA1S	0.665
GNGT1	ADCY8	0.696
HBA2	SLC4A1	0.582
HBA2	ALAS2	0.668
HBA2	HBA1	0.999
KRT75	RDM1	0.401
KRT75	KRT16	0.458
KRT75	KRT6C	0.469
KRT75	KRT6A	0.505
KRT75	KRT6B	0.555
KRT6C	SPRR3	0.465
KRT6C	KRT16	0.502
KRT6C	SPRR1B	0.648
KRT6C	KRT6A	0.71
KRT6C	KRT6B	0.772
KRT6B	TMPRSS11D	0.414
KRT6B	KLK6	0.542
KRT6B	SERPINB5	0.552
KRT6B	SERPINB4	0.569
KRT6B	SPRR3	0.607
KRT6B	SPRR1B	0.741
KRT6B	DSG3	0.786
KRT6B	KRT6A	0.886
KRT6B	KRT16	0.938
NR0B2	ONECUT1	0.481
NR0B2	CYP17A1	0.547
SSTR4	AGTR2	0.499
SSTR4	NMU	0.538
SSTR4	GAL	0.591
SSTR4	PCSK2	0.599
SYT4	GPM6A	0.438
SYT4	SH3GL2	0.543
SYT4	PCSK2	0.554
FABP4	HMGCS2	0.41
FABP4	ADH1B	0.418
FABP4	GPD1	0.439
FABP4	CALML3	0.452
FABP4	ITLN1	0.457
FABP4	AGER	0.466
FABP4	RXRG	0.474
DSG3	SERPINB5	0.539
DSG3	KRT16	0.57
DSG3	KRT6A	0.68
DSG3	SPRR3	0.702
DSG3	SPRR1B	0.77
IL36G	KRT16	0.419
IL36G	SERPINB4	0.532
IL36G	IL36RN	0.864
IL36RN	IL1RAPL2	0.575
MMP13	MMP12	0.539
MMP13	MMP3	0.557
MMP13	COL11A1	0.609
MMP13	MMP1	0.674
MMP13	IHH	0.688
GPR87	ADGRF4	0.414
GPR87	KRT6A	0.425
SLC6A4	HTR3C	0.429
SLC6A4	ADRA1A	0.439
SLC6A4	CHRNA2	0.506
SLC6A4	CHRNB4	0.557
SLC6A4	ADH1B	0.58
SLC6A4	CYP1A2	0.651
SLC6A4	CHRM2	0.683
SLC6A4	HTR3A	0.726
LHX5	ZIC2	0.479
LHX5	FEZF1	0.551
CHRNB4	CHRM1	0.547
CHRNB4	CHRM2	0.557
CHRNB4	CHRNA2	0.918
CDH19	PCDH15	0.441
SLC4A1	HBA1	0.482
SLC4A1	CA4	0.509
SLC4A1	CA9	0.522
SLC4A1	GYPE	0.767
SLC4A1	TRIM58	0.788
SLC4A1	ALAS2	0.876
NMU	AGRP	0.437
NMU	EDN3	0.478
NMU	AGTR2	0.562
NMU	NPSR1	0.607
NMU	GAL	0.886
NEIL3	H2BC9	0.517
NEIL3	CDC25C	0.525
NEIL3	CENPA	0.537
FGF10	MMP1	0.401
FGF10	MMP3	0.438
FGF10	NRG3	0.439
FGF10	PITX2	0.457
FGF10	VEGFD	0.523
FGF10	SFTPC	0.546
FGF10	IHH	0.556
FGF10	STRA6	0.562
FGF10	TERT	0.572
FGF10	SP8	0.575
FGF10	PF4	0.589
FGF10	CALML3	0.595
FGF10	RSPO1	0.804
PITX1	ZIC2	0.403
PITX1	HOXC11	0.408
PITX1	HOXC10	0.414
GAL	HTR3A	0.434
GAL	AGTR2	0.523
GAL	AGRP	0.729
SFRP5	ITLN1	0.447
SFRP5	WIF1	0.721
ZIC5	ZIC2	0.721
RSPO2	RSPO1	0.57
SCGB1A1	CLDN18	0.428
SCGB1A1	AGTR2	0.449
SCGB1A1	AGER	0.684
SCGB1A1	CHRM1	0.763
SCGB1A1	SFTPC	0.95
GPM6A	FAM107A	0.417
GPM6A	DPP6	0.505
GPM6A	UPK3B	0.515
ADGRF4	ADGRA1	0.594
TMPRSS11D	SPRR3	0.401
TMPRSS11D	SERPINB4	0.478
TMPRSS11D	TMPRSS11A	0.525
