Gene	Degree	Betweenness	Closeness	Eigenvector	Rank
FGF10	14	2835	0.00284804538645128	0.00737112788655373	1
KRT16	12	874	0.00225741277921374	0.917939606008585	2
AGTR2	12	1322	0.00263116350049992	0.00235641150072524	3
KRT6B	11	53	0.00204302613030421	1	4
CALML3	11	3005	0.00282061985942031	0.00785464365920736	5
CSF3	10	1401	0.00258346530535268	0.0223027735932983	6
KRT6A	10	812	0.00210187802801803	0.956146827700502	7
SPRR1B	9	404	0.00210283714787992	0.899736160424308	8
GRIA1	9	3527	0.00264278994048437	0.0398245984640328	9
RETN	8	1022	0.00257265830209697	0.00113547242575973	10
FABP4	8	2942	0.00278917465532774	0.00111238874596206	11
SLC6A4	8	1293	0.00228289653912885	0.00261964322793806	12
NMU	8	223	0.00241662054949118	0.00123453658478289	13
IHH	8	3543	0.00276628233784053	0.00284848309770096	14
MMP3	8	475	0.00259103605167562	0.00683979023910436	15
SPRR3	8	95	0.00203245009826896	0.755828260546522	16
SERPINB4	8	2457	0.00237820046327345	0.37536593525791	17
LHX2	8	1221	0.00237982479729842	0.00128859311712508	18
CHRM2	8	416	0.00232988355242005	0.0016568934591238	19
GNGT1	7	182	0.00231147067321583	0.00147442594678313	20
MMP13	7	132	0.00230531605883167	0.00335245449840775	21
SLC4A1	7	471	0.00165572234198614	2.8006016880836e-05	22
SFTPC	7	459	0.00248484246098797	0.00185324847279467	23
MMP1	7	298	0.00255125470706493	0.00567900739622047	24
EDN3	7	220	0.00227661303725222	0.00129040886369253	25
KRT6C	6	4	0.00195268640832626	0.635953020956421	26
DSG3	6	2	0.00189330829117567	0.704734591838276	27
PF4	6	352	0.00254424441029503	0.00432460672799948	28
GP9	6	441	0.00216355151307975	0.00147337344914524	29
CHRM1	6	74	0.00210038142926756	0.00162200655301823	30
ADH1B	6	1334	0.00244041721372686	0.000680231573315703	31
AGER	6	1792	0.00256938627639402	0.00075900926731682	32
ZIC2	6	1355	0.00240198115405587	0.00109605420967641	33
COL11A1	6	562	0.00238512066325435	0.00233094897322504	34
NPSR1	6	561	0.00253381374441928	0.00132789133648761	35
TFAP2A	6	2173	0.00257999267282081	0.010771109308038	36
IBSP	5	230	0.00231889435117336	0.00235863194044796	37
KISS1R	5	1163	0.0026561624296449	0.000815661971974249	38
KRT75	5	184	0.00192497598592457	0.372443448012298	39
GAL	5	118	0.00231571000826708	0.00145866929686796	40
SCGB1A1	5	245	0.00233318867563544	0.00100416639560817	41
AGRP	5	377	0.00242417777950164	0.000520520225218835	42
HHIP	5	2075	0.00243513411501138	0.000908925708298187	43
CLDN18	5	494	0.0022945042035317	0.000454472367086571	44
CAV3	5	268	0.00204866396379601	0.00229216269222183	45
HTR3A	5	175	0.00226364696161987	0.00893917685135728	46
GYPE	5	1455	0.00208792241280314	0.000108467847344758	47
CACNA1S	5	334	0.00215338566060489	0.00222003601284339	48
PCDH15	5	1941	0.00177303707065907	3.29763830137869e-06	49
FAM216B	5	549	0.00111166570878138	4.01138060166719e-10	50
ALAS2	5	520	0.00168518971023163	2.56037036240527e-05	51
PGC	5	338	0.00210786359593098	0.000301410628244436	52
CPB2	4	367	0.00190057701518181	0.000267684367960976	53
APOH	4	365	0.00220327891968828	0.00117942656605756	54
SSTR4	4	464	0.00221361862450166	0.000581299653851896	55
IL36G	4	744	0.00233115991523903	0.130417672214425	56
CHRNB4	4	0	0.00201752828574657	0.000859803509189912	57
GPM6A	4	453	0.00165361687350658	7.5371310565648e-05	58
TMPRSS11D	4	258	0.00206949787772993	0.191069771697399	59
WIF1	4	2436	0.00237243421239929	0.000347901250144785	60
GRHL3	4	952	0.00228460723032496	0.10131222551514	61
PPBP	4	440	0.00239746060972218	0.00328133586569131	62
HOXC10	4	366	0.00178908799450392	3.54068613805533e-05	63
TERT	4	213	0.00237905480152735	0.00265591170536028	64
HBA1	4	0	0.00182603709776968	1.83598567878515e-05	65
ITLN1	4	485	0.00240127171349947	0.00031951753516466	66
CENPA	4	546	0.00196535858950145	0.000381761765230264	67
AKR1B10	4	447	0.00207446929889161	9.41310943879173e-05	68
ADRA1A	4	213	0.00218054949847362	0.000653288293398803	69
CHRNA2	4	7	0.00199962007218628	0.000887665443060316	70
F11	4	653	0.00227274793407213	0.000420626567402967	71
MMP12	4	31	0.00220909040702491	0.00481011313301504	72
KLK6	4	0	0.00210689544742032	0.375318435545897	73
SBSN	4	383	0.00216071856856716	0.260246672811733	74
MYOC	3	380	0.00204873111838183	0.000370640546011091	75
MMP11	3	0	0.00205516473172907	0.00159482940456924	76
CYP24A1	3	81	0.00133339733640548	1.23134183611254e-05	77
HOXC13	3	117	0.00198959837967108	0.000136914748813731	78
CEACAM8	3	373	0.00231629466974271	0.00256661059019862	79
HBA2	3	0	0.00141345353342182	1.08933211237118e-05	80
SYT4	3	316	0.00166482703279543	1.87059836206937e-05	81
IL36RN	3	184	0.00214287397972413	0.0263189403660301	82
NEIL3	3	1	0.00165081608092961	6.07240918818482e-05	83
PITX1	3	606	0.00205361580134142	9.88605151926008e-05	84
SFRP5	3	413	0.00230040003956688	0.000187096839120147	85
CA4	3	139	0.00145371445849863	5.82806774218819e-06	86
GPD1	3	184	0.00234382507564695	0.000166086529450509	87
TUBB3	3	1025	0.00232195806079351	0.00372114056079302	88
HTR3C	3	459	0.00222365029985924	0.00690932459597535	89
KCNA4	3	870	0.00238474526151117	0.00465923815215668	90
GKN2	3	184	0.00191821130632108	8.63994628121226e-05	91
FREM3	3	184	0.00202089606531536	0.000108665639585424	92
TEKT1	3	900	0.00126469896370567	2.73282146590662e-09	93
CYP1A2	3	783	0.00183185746683422	0.00038179290003893	94
TRIM58	3	184	0.00145353696417177	7.81428328056698e-06	95
FOXE1	3	51	0.0022578969947391	0.0108372244042069	96
PRAME	3	2	0.468603561387067	6.50213148775661e-17	97
PITX2	3	324	0.00242254517441114	0.00235022329115816	98
PCSK2	3	491	0.00189958778944969	9.87028483220786e-05	99
CYP17A1	3	492	0.00144351385917656	7.7359548422199e-05	100
CA9	3	0	0.001448647615019	5.92711814968533e-06	101
STRA6	3	179	0.00233843189434029	0.00223011948235703	102
HOXC11	3	1	0.0017960673309721	3.24220885871194e-05	103
SERPINB5	3	0	0.00176492597900444	0.305677437924551	104
FEZF1	3	184	0.00192270717169775	0.000166830704454948	105
RSPO1	3	214	0.00219687999103673	0.00137942309210679	106
PI16	3	729	0.00207117810681894	0.034776484725609	107
GABRQ	3	126	0.00217967021589633	0.000975836812836084	108
SGCG	2	0	0.00179674824502615	0.000593106284155853	109
C6orf118	2	1074	0.00139484409827514	2.96534039610888e-08	110
RBP2	2	81	0.00199812975055348	0.000284468383008958	111
TNNC1	2	1	0.00187499765625293	0.000112824544585806	112
NR0B2	2	184	0.00126213543218042	9.00068249444107e-06	113
GPR87	2	366	0.00181072492372321	0.0862136303767371	114
LHX5	2	0	0.00198963400682444	0.000129878272080385	115
ADGRF4	2	184	0.0015933385701061	0.00763342174884629	116
ADCY8	2	0	0.00199761085741453	0.00185804031209857	117
HOXB13	2	184	0.00153472625087863	3.82197289269428e-06	118
IGF2BP1	2	0	0.734214390602056	3.71854560905534e-17	119
PGLYRP3	2	1	0.715307582260372	5.7471833548621e-17	120
CLEC3B	2	236	0.00200142100891633	0.00374257053426149	121
NETO1	2	184	0.00216741081104513	0.00387239437207205	122
CLEC4M	2	184	0.00154886274752763	0.000313587007638389	123
CDC25C	2	0	0.00150909228099298	7.46235804220417e-05	124
SCARA5	2	366	0.0018023961053825	0.00296143213593984	125
RXRG	2	620	0.00242240433319687	0.000218990649262714	126
MAGEA4	2	0	0.374812593703148	1.3605064370144e-17	127
