ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050804	modulation of chemical synaptic transmission	20/249	480/18449	0.0416666666666667	3.08718206157965	5.41948005617622	8.79687905238975e-06	0.0182709977475957	0.0182709977475957	SLC6A4/GRIA1/CHRM2/CHRNB4/SYT12/NMU/ADRA1A/SYT4/RETN/CHRM1/CHRNA2/TNR/NTNG1/NRG3/FAM107A/NXPH4/AGER/SLC24A2/NETO1/ADCY8	20
GO:0008544	epidermis development	15/249	287/18449	0.0522648083623693	3.87242349187692	5.7364895547413	8.8218021680592e-06	0.0182709977475957	0.0182709977475957	SPRR1B/FOXI3/RBP2/ABCA12/KRT16/KRT6C/KRT6B/FOXE1/HOXB13/KRT6A/SPRR3/KRT75/GRHL3/PITX2/GAL	15
GO:0099177	regulation of trans-synaptic signaling	20/249	482/18449	0.04149377593361	3.07437217750671	5.39772852932114	9.34896695254768e-06	0.0182709977475957	0.0182709977475957	SLC6A4/GRIA1/CHRM2/CHRNB4/SYT12/NMU/ADRA1A/SYT4/RETN/CHRM1/CHRNA2/TNR/NTNG1/NRG3/FAM107A/NXPH4/AGER/SLC24A2/NETO1/ADCY8	20
GO:0030574	collagen catabolic process	6/249	43/18449	0.13953488372093	10.3384701597086	7.17082095356994	2.28337793039258e-05	0.0334686120147292	0.0334686120147292	MMP13/MMP1/MMP12/MMP3/MMP11/KLK6	6
GO:0001501	skeletal system development	15/249	340/18449	0.0441176470588235	3.26878100637845	4.93882259549745	6.31274115241803e-05	0.0740232027532538	0.0740232027532538	COL11A1/DLX6/SHOX2/GDF10/MMP13/HHIP/MYOC/HMGA2/HOXC11/TFAP2A/DLL3/IHH/HOXB9/PITX1/PITX2	15
GO:0043588	skin development	12/249	236/18449	0.0508474576271186	3.76740861752093	5.00468987973919	9.14758114310095e-05	0.0796415656712695	0.0796415656712695	SPRR1B/FOXI3/ABCA12/KRT16/KRT6C/KRT6B/FOXE1/KRT6A/SPRR3/KRT75/GRHL3/GAL	12
GO:0031424	keratinization	7/249	79/18449	0.0886075949367089	6.56514666259977	5.79794653358015	9.50862970661584e-05	0.0796415656712695	0.0796415656712695	SPRR1B/KRT16/KRT6C/KRT6B/KRT6A/SPRR3/KRT75	7
GO:0010817	regulation of hormone levels	18/249	485/18449	0.0371134020618557	2.7498198981493	4.5677394316348	0.000110742554000313	0.0811604492629792	0.0811604492629792	ECRG4/NMU/RETN/ABCA12/CYP17A1/ADH1B/PCSK2/AKR1B15/AKR1B10/EDN3/AWAT2/FOXE1/CYP1A2/NR0B2/GAL/ADCY8/KLK6/KISS1R	18
GO:0009611	response to wounding	18/249	494/18449	0.0364372469635627	2.69972196478221	4.47906413325048	0.000139253316957611	0.0871984149899988	0.0871984149899988	SLC6A4/ECRG4/F11/PF4/GP9/ODAM/SCUBE1/MMP12/ANGPT4/HOXB13/KRT6A/APOH/AGER/FGF10/SPRR3/ANGPTL7/KLK6/CPB2	18
GO:0007218	neuropeptide signaling pathway	8/249	113/18449	0.0707964601769911	5.24547748516189	5.29483082066971	0.000148726616049802	0.0871984149899988	0.0871984149899988	ECRG4/NPSR1/NMU/AGRP/NXPH4/GAL/SSTR4/KISS1R	8
GO:0050806	positive regulation of synaptic transmission	9/249	147/18449	0.0612244897959184	4.53626751905581	5.03492642252541	0.000175717644240191	0.0936575043800218	0.0936575043800218	GRIA1/SYT12/NMU/ADRA1A/RETN/FAM107A/AGER/SLC24A2/ADCY8	9
GO:0019730	antimicrobial humoral response	10/249	184/18449	0.0543478260869565	4.02675921075607	4.82631396400113	0.00020569180536808	0.100497587906088	0.100497587906088	IL36RN/PF4/PLA2G1B/PGLYRP3/PGC/PGLYRP4/KRT6A/PPBP/H2BC9/WFDC12	10
GO:0009913	epidermal cell differentiation	10/249	191/18449	0.0523560209424084	3.8791816480582	4.67840453838552	0.000277847341250968	0.125309150904186	0.125309150904186	SPRR1B/FOXI3/ABCA12/KRT16/KRT6C/KRT6B/KRT6A/SPRR3/KRT75/PITX2	10
GO:2000252	negative regulation of feeding behavior	3/249	11/18449	0.272727272727273	20.2070098576123	7.45311497777725	0.000369943879620906	0.15207189951523	0.15207189951523	NPSR1/NMU/RETN	3
GO:1903532	positive regulation of secretion by cell	12/249	276/18449	0.0434782608695652	3.22140736860485	4.34918679139401	0.000389063362225558	0.15207189951523	0.15207189951523	SLC6A4/ECRG4/ANKRD1/NMU/SYT4/RETN/PLA2G1B/EDN3/NR0B2/GAL/ADCY8/KISS1R	12
GO:0098773	skin epidermis development	6/249	74/18449	0.0810810810810811	6.00748941712797	5.04848244743076	0.00048977437182709	0.167506287813759	0.167506287813759	FOXI3/ABCA12/KRT16/FOXE1/GRHL3/GAL	6
