ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0001533	cornified envelope	7/279	60/19556	0.116666666666667	8.17753882915173	6.69868731191878	2.25854437758381e-05	0.0172552790447403	0.0172552790447403	SPRR1B/KRT16/SPRR3/DSG3/KRT75/KLK6/SERPINB5	7
GO:0098981	cholinergic synapse	3/279	13/19556	0.230769230769231	16.1753515301902	6.5845501287677	0.000738993858073628	0.282295653784126	0.282295653784126	CHRM2/CHRNB4/CHRM1	3
GO:0098878	neurotransmitter receptor complex	5/279	56/19556	0.0892857142857143	6.25832053251408	4.74061898989923	0.00120241827889015	0.306215855024025	0.306215855024025	HTR3C/GRIA1/CHRNB4/CHRNA2/HTR3A	5
GO:0097060	synaptic membrane	15/279	451/19556	0.0332594235033259	2.331259089717	3.44103130880667	0.00218626549644329	0.412802296414439	0.412802296414439	SLC6A4/HTR3C/GRIA1/CHRM2/CHRNB4/GABRQ/GPM6A/CHRM1/CNTN6/CHRNA2/NTNG1/GABRA3/HTR3A/NETO1/ADCY8	15
GO:0098685	Schaffer collateral - CA1 synapse	6/279	100/19556	0.06	4.20559139784946	3.86627439519	0.00310977442515782	0.412802296414439	0.412802296414439	GRIA1/CHRM1/TNR/NTNG1/NETO1/ADCY8	6
GO:0060076	excitatory synapse	5/279	70/19556	0.0714285714285714	5.00665642601126	4.03999717966627	0.0032419028514223	0.412802296414439	0.412802296414439	GRIA1/GPM6A/CNTN6/NETO1/ADCY8	5
GO:0071682	endocytic vesicle lumen	3/279	23/19556	0.130434782608696	9.14258999532492	4.70060002268261	0.00411844258221818	0.449498590402099	0.449498590402099	HBA1/HBA2/CSF3	3
GO:0042734	presynaptic membrane	8/279	184/19556	0.0434782608695652	3.04752999844164	3.35709199730443	0.00501782170911973	0.460126390980642	0.460126390980642	SLC6A4/GRIA1/CHRNB4/GPM6A/CHRM1/CNTN6/NTNG1/ADCY8	8
GO:0045095	keratin filament	6/279	112/19556	0.0535714285714286	3.75499231950845	3.51761160722282	0.00542033706652588	0.460126390980642	0.460126390980642	KRT16/KRTAP4-1/KRT6C/KRT6B/KRT6A/KRT75	6
GO:0045211	postsynaptic membrane	11/279	319/19556	0.0344827586206897	2.4170065504882	3.06979811463079	0.0063269217049333	0.483376818256904	0.483376818256904	SLC6A4/HTR3C/GRIA1/CHRM2/CHRNB4/GABRQ/CHRM1/CHRNA2/GABRA3/HTR3A/NETO1	11
GO:0031838	haptoglobin-hemoglobin complex	2/279	11/19556	0.181818181818182	12.7442163571196	4.68720379581622	0.0102460907595374	0.711637576389691	0.711637576389691	HBA1/HBA2	2
GO:0005833	hemoglobin complex	2/279	12/19556	0.166666666666667	11.6821983273596	4.45303205119818	0.0121804085867065	0.775486013353648	0.775486013353648	HBA1/HBA2	2
GO:0031089	platelet dense granule lumen	2/279	14/19556	0.142857142857143	10.0133128520225	4.05859061843819	0.0164823353919363	0.90758688033402	0.90758688033402	CLEC3B/APOH	2
GO:0048787	presynaptic active zone membrane	3/279	38/19556	0.0789473684210526	5.53367289190719	3.365391641886	0.0167737227997218	0.90758688033402	0.90758688033402	GRIA1/GPM6A/NTNG1	3
GO:0001917	photoreceptor inner segment	4/279	70/19556	0.0571428571428571	4.00532514080901	3.03033347556974	0.0178191141426836	0.90758688033402	0.90758688033402	USH1G/GNGT1/SLC24A2/RS1	4
GO:0005892	acetylcholine-gated channel complex	2/279	18/19556	0.111111111111111	7.78813221823975	3.46623322552199	0.0266960104574527	1	1	CHRNB4/CHRNA2	2
GO:0016010	dystrophin-associated glycoprotein complex	2/279	18/19556	0.111111111111111	7.78813221823975	3.46623322552199	0.0266960104574527	1	1	CAV3/SGCG	2
GO:0090665	glycoprotein complex	2/279	19/19556	0.105263157894737	7.37823052254292	3.34625753264014	0.0295602243558405	1	1	CAV3/SGCG	2
GO:1902711	GABA-A receptor complex	2/279	19/19556	0.105263157894737	7.37823052254292	3.34625753264014	0.0295602243558405	1	1	GABRQ/GABRA3	2
GO:0042599	lamellar body	2/279	20/19556	0.1	7.00931899641577	3.23469785973377	0.0325406956950545	1	1	ABCA12/SFTPC	2
GO:0042827	platelet dense granule	2/279	21/19556	0.0952380952380952	6.67554190134835	3.1305566132679	0.0356335497793858	1	1	CLEC3B/APOH	2
GO:1902710	GABA receptor complex	2/279	21/19556	0.0952380952380952	6.67554190134835	3.1305566132679	0.0356335497793858	1	1	GABRQ/GABRA3	2
GO:0034702	monoatomic ion channel complex	10/279	364/19556	0.0274725274725275	1.92563708692741	2.14458176699188	0.036765640685044	1	1	HTR3C/GRIA1/CHRNB4/GABRQ/CACNA1S/CHRNA2/GABRA3/DPP6/HTR3A/KCNA4	10
GO:0048786	presynaptic active zone	4/279	88/19556	0.0454545454545455	3.1860540892799	2.47259427203485	0.0372386339213185	1	1	GRIA1/GPM6A/NTNG1/ADCY8	4
GO:0031594	neuromuscular junction	4/279	89/19556	0.0449438202247191	3.15025572872619	2.44594614437672	0.0385702148958892	1	1	GRIA1/CAV3/SGCG/EFNA2	4
GO:0097449	astrocyte projection	2/279	22/19556	0.0909090909090909	6.37210817855979	3.03299564224071	0.0388349981107836	1	1	SYT4/AQP4	2
GO:0030017	sarcomere	7/279	221/19556	0.0316742081447964	2.22014628845748	2.19455889245177	0.0396999863568414	1	1	ANKRD1/TNNC1/STYXL2/CACNA1S/CAV3/MYH2/SLC4A1	7
GO:0045178	basal part of cell	9/279	323/19556	0.0278637770897833	1.95306102067312	2.07782870219085	0.0428621223209752	1	1	GKN2/RHBG/PTPRQ/CD300LG/CA9/SLC4A1/ADCY8/GPIHBP1/AQP4	9
GO:0098688	parallel fiber to Purkinje cell synapse	2/279	24/19556	0.0833333333333333	5.84109916367981	2.85487784190569	0.0455489446024913	1	1	GPM6A/CNTN6	2
