ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008236	serine-type peptidase activity	14/270	191/18367	0.0732984293193717	4.9861935233663	6.76412749153345	9.37243650531014e-07	0.000691767263362876	0.000691767263362876	F11/TMPRSS11A/MMP13/TMPRSS11D/PCSK2/OVCH2/MMP1/MMP12/DPP6/OVCH1/TMPRSS11E/MMP3/MMP11/KLK6	14
GO:0017171	serine hydrolase activity	14/270	197/18367	0.0710659898477157	4.83432976123331	6.60892751670264	1.35670572069446e-06	0.000691767263362876	0.000691767263362876	F11/TMPRSS11A/MMP13/TMPRSS11D/PCSK2/OVCH2/MMP1/MMP12/DPP6/OVCH1/TMPRSS11E/MMP3/MMP11/KLK6	14
GO:0004252	serine-type endopeptidase activity	13/270	172/18367	0.0755813953488372	5.14149440137812	6.66547572288519	1.63409589770758e-06	0.000691767263362876	0.000691767263362876	F11/TMPRSS11A/MMP13/TMPRSS11D/PCSK2/OVCH2/MMP1/MMP12/OVCH1/TMPRSS11E/MMP3/MMP11/KLK6	13
GO:0030594	neurotransmitter receptor activity	9/270	94/18367	0.0957446808510638	6.51312056737589	6.54549309134681	1.00340270946101e-05	0.0031858036025387	0.0031858036025387	HTR3C/GRIA1/CHRM2/CHRNB4/GABRQ/CHRM1/CHRNA2/GABRA3/HTR3A	9
GO:0022824	transmitter-gated monoatomic ion channel activity	7/270	62/18367	0.112903225806452	7.68034647550777	6.43570079194457	3.3849421559951e-05	0.00716479423018963	0.00716479423018963	HTR3C/GRIA1/CHRNB4/GABRQ/CHRNA2/GABRA3/HTR3A	7
GO:0022835	transmitter-gated channel activity	7/270	62/18367	0.112903225806452	7.68034647550777	6.43570079194457	3.3849421559951e-05	0.00716479423018963	0.00716479423018963	HTR3C/GRIA1/CHRNB4/GABRQ/CHRNA2/GABRA3/HTR3A	7
GO:0004175	endopeptidase activity	17/270	386/18367	0.0440414507772021	2.99596046824026	4.84088255303853	6.14828152411048e-05	0.0111547393366004	0.0111547393366004	ADAMTS20/F11/TMPRSS11A/MMP13/TMPRSS11D/PCSK2/ADGB/OVCH2/MMP1/PGC/MMP12/OVCH1/TMPRSS11E/MMP3/MMP11/KLK6/ADAMTS8	17
GO:0005230	extracellular ligand-gated monoatomic ion channel activity	7/270	74/18367	0.0945945945945946	6.43488488488488	5.72202329287454	0.000106629286787747	0.0169273992775548	0.0169273992775548	HTR3C/GRIA1/CHRNB4/GABRQ/CHRNA2/GABRA3/HTR3A	7
GO:0015464	acetylcholine receptor activity	4/270	20/18367	0.2	13.6051851851852	6.88918070546499	0.00018379090133412	0.0259349382993702	0.0259349382993702	CHRM2/CHRNB4/CHRM1/CHRNA2	4
GO:0071855	neuropeptide receptor binding	5/270	39/18367	0.128205128205128	8.72127255460589	5.89589210417985	0.000253040061779398	0.0321360878459836	0.0321360878459836	NMU/UCN2/AGRP/EDN3/GAL	5
GO:0008237	metallopeptidase activity	10/270	183/18367	0.0546448087431694	3.71726371179923	4.5123055623885	0.000388668292999017	0.0448735211007956	0.0448735211007956	ADAMTS20/TRHDE/MMP13/AGBL1/MMP1/MMP12/MMP3/MMP11/ADAMTS8/CPB2	10
GO:0098960	postsynaptic neurotransmitter receptor activity	4/270	28/18367	0.142857142857143	9.71798941798942	5.63888719673229	0.000708138973446333	0.0749447080230703	0.0749447080230703	CHRM2/CHRNB4/CHRM1/CHRNA2	4
GO:0004222	metalloendopeptidase activity	7/270	108/18367	0.0648148148148148	4.4090877914952	4.34007713038454	0.0010827762313594	0.10577890875588	0.10577890875588	ADAMTS20/MMP13/MMP1/MMP12/MMP3/MMP11/ADAMTS8	7
GO:0019825	oxygen binding	4/270	32/18367	0.125	8.50324074074074	5.18882820282336	0.00118769301774811	0.106172079949324	0.106172079949324	CYP17A1/HBA1/ADGB/HBA2	4
GO:0008242	omega peptidase activity	3/270	15/18367	0.2	13.6051851851852	5.96539270087419	0.00125400094428336	0.106172079949324	0.106172079949324	GGTLC1/TRHDE/GGTLC2	3
GO:0001664	G protein-coupled receptor binding	12/270	294/18367	0.0408163265306122	2.77656840513983	3.75082113112402	0.00142294950511729	0.112946616968685	0.112946616968685	PF4/GRIA1/NMU/HBA1/RSPO1/MYOC/UCN2/HBA2/AGRP/EDN3/PPBP/GAL	12
GO:0030280	structural constituent of skin epidermis	5/270	62/18367	0.0806451612903226	5.48596176821983	4.32167819591588	0.0021618606563132	0.161503707853986	0.161503707853986	KRT16/KRT6C/KRT6B/KRT6A/KRT75	5
GO:0005539	glycosaminoglycan binding	10/270	232/18367	0.0431034482758621	2.93215197956577	3.61753195089568	0.00235538645411574	0.166185599818166	0.166185599818166	F11/PF4/RSPO1/RSPO2/PGLYRP3/CLEC3B/PGLYRP4/APOH/FGF10/ADAMTS8	10
GO:0048019	receptor antagonist activity	3/270	20/18367	0.15	10.2038888888889	5.03025166366451	0.00297590144494007	0.198915517635468	0.198915517635468	AGTR2/IL36RN/AGRP	3
GO:0008201	heparin binding	8/270	167/18367	0.0479041916167665	3.25872699046352	3.58155942970736	0.00334069461905029	0.212134108309694	0.212134108309694	F11/PF4/RSPO1/RSPO2/CLEC3B/APOH/FGF10/ADAMTS8	8
GO:0005179	hormone activity	7/270	137/18367	0.0510948905109489	3.47577723709111	3.55274791899131	0.00417522920507365	0.252501956687788	0.252501956687788	ECRG4/GUCA2A/RETN/UCN2/AGRP/EDN3/GAL	7
GO:0060229	lipase activator activity	3/270	25/18367	0.12	8.16311111111111	4.37758135999427	0.00568794336926333	0.322850224174968	0.322850224174968	FABP4/APOH/GPIHBP1	3
GO:0016835	carbon-oxygen lyase activity	5/270	79/18367	0.0632911392405063	4.30543834974215	3.59621277502896	0.00615705255867657	0.322850224174968	0.322850224174968	HMGA2/CA4/NEIL3/CYP1A2/CA9	5
GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	4/270	50/18367	0.08	5.44207407407407	3.84175358054361	0.00618904487107283	0.322850224174968	0.322850224174968	GRIA1/CHRNB4/CHRNA2/GABRA3	4
GO:0015276	ligand-gated monoatomic ion channel activity	8/270	186/18367	0.043010752688172	2.92584627638391	3.22444583373496	0.00635531937352299	0.322850224174968	0.322850224174968	HTR3C/GRIA1/CHRNB4/GABRQ/TRPM8/CHRNA2/GABRA3/HTR3A	8
GO:0022834	ligand-gated channel activity	8/270	188/18367	0.0425531914893617	2.89472025216706	3.18951688705183	0.00676425602951939	0.330407890672678	0.330407890672678	HTR3C/GRIA1/CHRNB4/GABRQ/TRPM8/CHRNA2/GABRA3/HTR3A	8
GO:0008395	steroid hydroxylase activity	3/270	27/18367	0.111111111111111	7.55843621399177	4.16551204224868	0.00707918523400833	0.332983898044096	0.332983898044096	CYP24A1/CYP17A1/CYP1A2	3
GO:0018455	alcohol dehydrogenase [NAD(P)+] activity	4/270	53/18367	0.0754716981132075	5.1340321453529	3.68134108760974	0.00760487270234931	0.344935297570844	0.344935297570844	ADH1B/AKR1B15/AKR1B10/MIOX	4
GO:0035473	lipase binding	2/270	10/18367	0.2	13.6051851851852	4.87005936581758	0.00896296987414237	0.359609487050877	0.359609487050877	APOH/GPIHBP1	2
