Gene	Degree	Betweenness	Closeness	PageRank	Eigenvector	Status	logFC	Composite_Score
FGF10	14	0.176403890922462	0.285053929121726	0.016275967005669	0.0279597410902299	Downregulated	-0.568522034664058	0.643226912079039
KRT16	12	0.0387071982232374	0.208333333333333	0.0111660612539586	1	Upregulated	0.689365044817129	0.568429045915394
CALML3	11	0.15371399589448	0.275707898658718	0.0151252479764164	0.0225223612376422	Upregulated	0.52431531351562	0.553235508646705
GRIA1	9	0.177203882306579	0.259103641456583	0.0119596862234856	0.0959830912878954	Downregulated	-0.692321582450838	0.516552347116072
KRT6B	11	0.0136475674977931	0.201086956521739	0.00991894925065879	0.991531902217774	Upregulated	0.592378777847222	0.505135700388702
KRT6A	10	0.038385565576278	0.201086956521739	0.0095065056836191	0.909500832758001	Upregulated	0.649669974226625	0.495105954992157
SERPINB4	8	0.111082200521694	0.226993865030675	0.00838815909189022	0.568095673867119	Upregulated	0.557582901689933	0.466978846105069
IHH	8	0.180875389599041	0.268115942028986	0.00935582845717746	0.0135491114982906	Downregulated	-0.661354635477425	0.455417862787264
SPRR1B	9	0.0339678842080571	0.197018104366347	0.00808371531674788	0.846704312998786	Upregulated	0.64939278294912	0.442088946430533
AGTR2	12	0.0536408681770479	0.247657295850067	0.0119222224208766	0.0129290367231655	Downregulated	-0.673530834180948	0.406439291181541
CSF3	10	0.0743436974174011	0.253772290809328	0.0112970399205967	0.0553637905231408	Downregulated	-0.510846996216319	0.399918060482288
FABP4	8	0.103936708602669	0.264285714285714	0.0107440524177796	0.00570191694668954	Downregulated	-0.623137975639006	0.386755079776764
SPRR3	8	0.00260743878751	0.18389662027833	0.00726503835719643	0.808212561543817	Upregulated	0.555403935765008	0.370339623872915
LHX2	8	0.0696498432390741	0.223429951690821	0.0115233995484653	0.00747392215326458	Upregulated	0.588216668974573	0.350769097349497
RETN	8	0.0500542819080135	0.243421052631579	0.0104731900963735	0.00622128610986135	Downregulated	-0.613103749051326	0.319012473667093
SLC6A4	8	0.0641683975445032	0.218160377358491	0.00920070242805363	0.00777159037718599	Downregulated	-0.800161545493769	0.312112582559232
PCDH15	5	0.0946690728186119	0.162138475021911	0.0108707759887796	4.92305158484016e-05	Downregulated	-0.612034248584348	0.308450135668227
PRAME	3	9.75467004828562e-05	1	0.00719089935558432	0	Upregulated	0.849934342011569	0.307687591634969
TFAP2A	6	0.0887428619223607	0.239018087855297	0.00744691921468309	0.034143320614207	Upregulated	0.515926286902324	0.294602549729439
KRT6C	6	0.000877001845152847	0.183531746031746	0.00553220881702477	0.699389255229503	Upregulated	0.596362424947531	0.292315587230506
PGLYRP3	2	4.87733502414281e-05	1	0.00715421303656744	3.9113324414864e-17	Upregulated	0.686686651000912	0.29175159565434
DSG3	6	0.00119060597950344	0.183349851337958	0.00551179698655796	0.678573463460969	Upregulated	0.593686483934303	0.288182365545997
WIF1	4	0.1181593099684	0.225885225885226	0.00605978789075769	0.00233280503526445	Downregulated	-0.593006384005177	0.268297418571774
MMP3	8	0.0256142621834443	0.248655913978495	0.0083929972454806	0.0217413722371239	Upregulated	0.530045106936655	0.268038484648169
HHIP	5	0.0971068020711401	0.23840206185567	0.00598923407053985	0.0040046059356061	Downregulated	-0.546280953332489	0.262537275326273
CHRM2	8	0.0285376108389814	0.223970944309927	0.00832899239510044	0.0068605283769167	Downregulated	-0.756988467212595	0.261991611211883
IGF2BP1	2	0	1	0.00490196078431134	0	Upregulated	0.554542768479879	0.261158120755479
TRIM71	2	0	1	0.00490196078430842	0	Downregulated	-0.534262960975947	0.261158120755439
HMGA2	2	0	1	0.00490196078430517	0	Upregulated	0.601682252289694	0.261158120755395
ZIC2	6	0.0468853750800295	0.216881594372802	0.00889465735069567	0.00638065128924587	Upregulated	0.726660666869636	0.257523339544339
SFTPC	7	0.0337830470700911	0.252043596730245	0.00810710088946642	0.00869152512107271	Downregulated	-0.7344027613521	0.255945690375517
ADH1B	6	0.0491989808566866	0.225885225885226	0.00828348372953977	0.003123307625525	Downregulated	-0.536881334996115	0.253125327477861
AGER	6	0.0560777772635578	0.248655913978495	0.00700965262098987	0.00382841315462414	Downregulated	-0.565866247753063	0.248613653610833
SLC4A1	7	0.0319994200374689	0.169880624426079	0.0089818855346316	0.000164731822314732	Downregulated	-0.524991984362535	0.246038714106266
OTC	1	0	1	0.00490196078431591	0	Downregulated	-0.721909035060804	0.245773505370925
CST4	1	0	1	0.00490196078431591	0	Upregulated	0.515157291056797	0.245773505370925
OR6K3	1	0	1	0.00490196078431591	1.08380848781369e-17	Downregulated	-0.574922108207268	0.245773505370925
PADI3	1	0	1	0.00490196078431591	5.06389498065034e-18	Upregulated	0.610897911960482	0.245773505370925
ARSH	1	0	1	0.00490196078431216	1.02311192733702e-17	Upregulated	0.591717697391015	0.245773505370875
CST1	1	0	1	0.00490196078431216	6.7858530990574e-18	Upregulated	0.832123161968849	0.245773505370875
OR6N1	1	0	1	0.00490196078431216	1.59024585143191e-17	Downregulated	-0.550816048317627	0.245773505370875
PADI1	1	0	1	0.00490196078431216	1.3491335669016e-17	Upregulated	0.582316111804818	0.245773505370875
NMU	8	0.0113071762976655	0.23153942428035	0.00817868876657867	0.00743257099197788	Upregulated	0.569955068753859	0.242682167630852
KRT75	5	0.00897429644442277	0.174363807728558	0.00527115170341339	0.507029846751009	Upregulated	0.518036564749376	0.241854075061062
PF4	6	0.0385159494539829	0.254820936639118	0.00678811071556394	0.0163221349773981	Downregulated	-0.520736185922293	0.230047132726566
GYPE	5	0.0669057690571042	0.198497854077253	0.00632107672414502	0.000710311560812086	Downregulated	-0.532087084127918	0.224197430937834
FAM216B	5	0.026776569282544	0.100872410032715	0.0111554046552173	2.40910677866495e-08	Downregulated	-0.504907058787055	0.223738810834933
GNGT1	7	0.0136337557861237	0.222088835534214	0.00762453926432384	0.00649284728480578	Upregulated	0.745253407241018	0.220087279977645
MMP1	7	0.011377875729434	0.24025974025974	0.00725530783175769	0.0207228681387133	Upregulated	0.503005022779218	0.219433236301075
EDN3	7	0.010038315177807	0.222623345367028	0.00735649561965062	0.00675783328475824	Downregulated	-0.660852488530175	0.212647815623712
GP9	6	0.01796845859544	0.220500595947557	0.00784167665511211	0.00519515953451386	Downregulated	-0.601931804898084	0.211830733377721
MMP13	7	0.0055403399377452	0.223700120918984	0.00729657693335086	0.0132590286880202	Upregulated	0.632704363356139	0.208399111703606
IL36G	4	0.0400412065122179	0.225885225885226	0.00460933732685879	0.229808793870592	Upregulated	0.635291287819622	0.207747334480315
MAGEA4	2	0	0.75	0.0048221140899658	0	Upregulated	0.501103603668485	0.205029062821744
MAGEA3	2	0	0.75	0.00482211408996001	0	Upregulated	0.577681938024478	0.205029062821666
KLK6	4	0.00125799735551967	0.198497854077253	0.00394739162239416	0.470543470213122	Upregulated	0.563183663351828	0.198004378479288
GRHL3	4	0.0451382768116546	0.208098987626547	0.00449081665487697	0.180046972326725	Upregulated	0.556426494719307	0.197907612728383
NPSR1	6	0.0193553773176267	0.235969387755102	0.00641389706058784	0.00751858410307923	Upregulated	0.537913768304905	0.197874924513984
CACNA1S	5	0.0272136402727048	0.232704402515723	0.00687979345548109	0.00494453902089176	Downregulated	-0.621369800667688	0.196263092407347
KISS1R	5	0.0386029406330955	0.245033112582781	0.00538164021390474	0.00623404796582452	Upregulated	0.612556013441422	0.19151483414933
HTR3A	5	0.0329908071688328	0.230961298377029	0.00574614277750988	0.0183711729703097	Upregulated	0.524937327140441	0.18958081877046
CAV3	5	0.019471660937544	0.227272727272727	0.00695366653168991	0.00480471533562565	Downregulated	-0.677668462923465	0.187480270984795
SBSN	4	0.00568361700025359	0.195147679324895	0.00401589432321598	0.391615899410635	Upregulated	0.517408877592615	0.187303627232907
TMPRSS11D	4	0.00989605832297433	0.188775510204082	0.00462536763617604	0.333451363584279	Upregulated	0.532570546580455	0.187189687514066
PGC	5	0.0184153267543503	0.207166853303471	0.00734494000379401	0.00129127745743635	Downregulated	-0.544847153994947	0.186488032763337
COL11A1	6	0.00954140479819648	0.216881594372802	0.00637787854829974	0.0102381035850189	Upregulated	0.629611717855328	0.182875938807792
CHRM1	6	0.00917109912436278	0.216881594372802	0.00631305084430295	0.00598180377446828	Downregulated	-0.77206387646708	0.180736184412487
GJB6	2	0.101253475101205	0.188968335035751	0.00387103096252763	0.00032904934424729	Upregulated	0.697403146033225	0.180626946925709
GPM6A	4	0.0221119789670733	0.160590277777778	0.00814897365307145	0.000315650465551593	Downregulated	-0.719327523731724	0.175642659333536
CLDN18	5	0.0177871376159432	0.217647058823529	0.00627097471204505	0.00263424780107651	Downregulated	-0.690248905849171	0.173807111714433
AGRP	5	0.0159980706022749	0.225060827250608	0.00605986746767537	0.00369986694792017	Downregulated	-0.603456882612789	0.170811887333273
AKR1B10	4	0.0193530331217499	0.18974358974359	0.00729381962947637	0.000601777246567265	Upregulated	0.721171282846703	0.167472851332388
CENPA	4	0.0266546359069404	0.179090029041626	0.00660802983664719	0.00207377120341581	Upregulated	0.507951914793291	0.164196112040432
IBSP	5	0.00997501809943891	0.223160434258142	0.00588620988455376	0.00827877288182091	Upregulated	0.559097753217643	0.162294617857219
GAL	5	0.0123561370915417	0.224787363304982	0.00545459726704227	0.00638487237430652	Upregulated	0.613194386486599	0.159054471025364
TUBB3	3	0.0498373756067752	0.216374269005848	0.00466343521353157	0.0139542614230631	Upregulated	0.538770506290854	0.158663134894699
SCGB1A1	5	0.00952552204313066	0.229813664596273	0.00551766724386009	0.0047056705979215	Downregulated	-0.623115576526445	0.157550644034296
ALAS2	5	0.0109850973506507	0.168181818181818	0.00645322854693448	0.000157116061464544	Downregulated	-0.559507808708301	0.157370193977627
WFDC12	1	0	0.666666666666667	0.0037758346581864	0	Downregulated	-0.500684398142003	0.157108570331264
PGLYRP4	1	0	0.666666666666667	0.0037758346581864	4.74999639703208e-18	Upregulated	0.511381959419724	0.157108570331264
APOH	4	0.0243505237493922	0.218676122931442	0.0055003055045838	0.00430437594138152	Downregulated	-0.537580997747805	0.15579053002147
ITLN1	4	0.0149497074016011	0.22671568627451	0.00593163010874867	0.00188210473577041	Downregulated	-0.594780822754166	0.152530043128641
HOXC10	4	0.0178754328634834	0.160729800173762	0.00665718339180989	0.000343747349207282	Upregulated	0.644723768712391	0.150766491787794
CPB2	4	0.0178724030038472	0.194123819517314	0.00607712703864189	0.000979982614949178	Downregulated	-0.727242324624854	0.150377959437198
F11	4	0.0228152055177369	0.215617715617716	0.00529943684719415	0.00197646730824712	Downregulated	-0.757466457812134	0.150230188227656
TEKT1	3	0.0438960152172853	0.111647555823778	0.00641675450946002	1.41535707323341e-07	Downregulated	-0.507369599471398	0.150017680798757
PI16	3	0.0326825451721808	0.192107995846314	0.00478834216421743	0.0817068745446033	Downregulated	-0.568245261704627	0.149595586508353
CYP1A2	3	0.0422815043500395	0.18407960199005	0.0051297429056955	0.00111721507315197	Downregulated	-0.7961519339725	0.146953053791988
TERT	4	0.0160809846209544	0.240572171651495	0.00508357846879321	0.00966146277396217	Upregulated	0.707836100740596	0.146888597775612
KCNA4	3	0.0392214397372179	0.223970944309927	0.00434513649119733	0.0145817759480635	Downregulated	-0.76403484696411	0.1444069283025
SERPINB5	3	0	0.168334849863512	0.00309064926745967	0.356341334878624	Upregulated	0.64285888845274	0.140129822772221
SSTR4	4	0.0185130388478679	0.209988649262202	0.00470025868918981	0.00378836222673427	Downregulated	-0.546879878392836	0.136471487287017
ADGB	2	0.0607715944008194	0.141113653699466	0.00447720546097875	6.93564647115918e-06	Downregulated	-0.514616373346501	0.133482899305277
CYP17A1	3	0.0294644932059543	0.159758203799655	0.00549339201862364	0.000161760574322188	Downregulated	-0.52650771932859	0.132165464938411
PPBP	4	0.00846774799550003	0.227832512315271	0.00461258647655543	0.012406179940306	Downregulated	-0.613678245017033	0.12982779823872
ZYG11A	1	0	0.6	0.00277271560172845	0	Upregulated	0.669948475462043	0.128827686966526
MYOC	3	0.0186151620088117	0.206935123042506	0.00508110195839587	0.00156771649556709	Downregulated	-0.828320160855082	0.125247387923984
PITX2	3	0.0210812867948409	0.239018087855297	0.00421810360566268	0.00879534640221424	Upregulated	0.867038145989955	0.124782118240175
ADRA1A	4	0.00611065220634552	0.204194260485651	0.00475249592132566	0.00330929712688432	Downregulated	-0.756193017471048	0.122094411787771
STRA6	3	0.0150888322343145	0.242146596858639	0.00439238663284266	0.00712085449216601	Upregulated	0.508586000643607	0.120873214422232
C6orf118	2	0.0523825781592938	0.124747134187458	0.00445618688291156	9.77626951810661e-07	Downregulated	-0.514534926405037	0.120317017658456
SYT4	3	0.0134422256440985	0.161009573542211	0.00581711212137676	0.000139933645306469	Downregulated	-0.53228355218644	0.119109774477623
HOXC13	3	0.0204860950556702	0.18444666001994	0.0047487659347157	0.00112658921720204	Upregulated	0.85143332442867	0.117769953317226
SFRP5	3	0.018216553426035	0.210706150341686	0.00439624689028388	0.00144163398797341	Downregulated	-0.536425222276074	0.116325410125059
MMP12	4	0.000498455897665769	0.217136150234742	0.00435431304684648	0.0153453310528408	Upregulated	0.540141675763611	0.115746457028234
RSPO1	3	0.0136394251670065	0.235668789808917	0.00427016454338646	0.00488910646107715	Downregulated	-0.589219422251137	0.115740610094094
CEACAM8	3	0.0129773725809887	0.219714964370546	0.00452248380940615	0.00867272560058991	Downregulated	-0.569674285284761	0.115673816941361
PCSK2	3	0.0197943738779226	0.182806324110672	0.00467367035253416	0.000678019191095877	Downregulated	-0.508213093954021	0.115535938898211
HBA1	4	0.00272614337643557	0.167876588021779	0.00513493276121703	0.000151614972229877	Downregulated	-0.708667265728277	0.114909560129622
FEZF1	3	0.00970988372588139	0.183531746031746	0.00537407094220255	0.00119998420859968	Upregulated	0.624241347371587	0.114146421711194
IL36RN	3	0.00897429644442277	0.212888377445339	0.00434690673043695	0.0401594624619266	Upregulated	0.731587162164995	0.113660965507024
GPD1	3	0.00897429644442277	0.216374269005848	0.00484128634299532	0.0012428132798228	Downregulated	-0.545381870122474	0.113348747331153
PITX1	3	0.014630717118158	0.179961089494163	0.00478448119070452	0.000975567096343276	Upregulated	0.679923029148622	0.110761886168483
HTR3C	3	0.0147070649203049	0.220238095238095	0.00381923894391102	0.0168702068130943	Downregulated	-0.771975202678933	0.109805388595647
CHRNB4	4	0.00027719520720545	0.196182396606575	0.00443450547583146	0.00330396651848289	Upregulated	0.586115869515299	0.109567190137481
CHRNA2	4	0.00027719520720545	0.196182396606575	0.0044345054758264	0.00330396651848285	Downregulated	-0.667309911058624	0.109567190137413
GKN2	3	0.00897429644442277	0.187246963562753	0.0048408337466643	0.00055281255243291	Downregulated	-0.787098459638115	0.106791200208576
FREM3	3	0.00897429644442277	0.195767195767196	0.00454847019022563	0.000663978806416582	Downregulated	-0.739944551261287	0.10472514440912
GPR87	2	0.0178510461883627	0.168181818181818	0.00341377999587161	0.128129048769468	Upregulated	0.509253563861768	0.103189066585621
FOXE1	3	0.00444806254565802	0.219454329774614	0.00382483330350877	0.0309224072630577	Upregulated	0.681893165062402	0.101175388074192
GABRQ	3	0.00455303569116182	0.213379469434833	0.00430765237488593	0.00293420714156234	Upregulated	0.580601729921014	0.100903037395428
