category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04082	Neuroactive ligand signaling	13/142	199/8790	0.0653266331658292	4.04381060230731	5.56516913849486	1.86232227304018e-05	0.00657399762383185	0.00657399762383185	6532/170572/2890/1129/1143/55879/148/2792/1128/181/2556/3359/114	13
Organismal Systems	Development and regeneration	hsa04382	Cornified envelope formation	13/142	216/8790	0.0601851851851852	3.72554773082942	5.19690756030961	4.41549637408158e-05	0.00779335110025399	0.00779335110025399	6699/51702/26154/3868/286887/29943/3854/51208/3853/6707/1830/9119/5522	13
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	17/142	371/8790	0.045822102425876	2.83645267833416	4.63118900976188	9.49446683521444e-05	0.011171822642769	0.011171822642769	186/122042/2890/1129/1143/55879/387129/10874/148/1128/90226/1908/1135/2556/51083/6754/84634	17
Organismal Systems	Digestive system	hsa04970	Salivary secretion	6/142	93/8790	0.0645161290322581	3.99363925488414	3.71888088475347	0.00385360783642648	0.340080891564637	0.340080891564637	148/1472/1473/810/1469/114	6
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	5/142	76/8790	0.0657894736842105	4.07246108228317	3.44699356654242	0.00756264058412047	0.533922425238905	0.533922425238905	2167/28965/6258/4312/3158	5
Metabolism	Metabolism of cofactors and vitamins	hsa00790	Folate biosynthesis	3/142	28/8790	0.107142857142857	6.63229376257545	3.82488826989841	0.01006277331093	0.538147048012228	0.538147048012228	441282/57016/250	3
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	6/142	115/8790	0.0521739130434783	3.22963870177587	3.08393159671776	0.0106714712070413	0.538147048012228	0.538147048012228	1129/1143/2792/1128/779/114	6
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	7/142	154/8790	0.0454545454545455	2.81370038412292	2.9095488454719	0.012274183408909	0.541598342918109	0.541598342918109	186/7134/148/810/779/114/5522	7
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	5/142	89/8790	0.0561797752808989	3.4776072163317	3.01022487510968	0.0143957790418016	0.564634444639552	0.564634444639552	55879/2792/779/2556/114	5
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	6/142	130/8790	0.0461538461538462	2.85698808234019	2.73324089882672	0.0186115205219482	0.577670401485425	0.577670401485425	122042/4322/2792/4312/114/2277	6
Organismal Systems	Endocrine system	hsa04927	Cortisol synthesis and secretion	4/142	65/8790	0.0615384615384615	3.80931744312026	2.91293531141981	0.0206710797561414	0.577670401485425	0.577670401485425	1586/779/3739/114	4
Organismal Systems	Circulatory system	hsa04270	Vascular smooth muscle contraction	6/142	134/8790	0.0447761194029851	2.77170485600168	2.64814166721579	0.0212706389973684	0.577670401485425	0.577670401485425	148/5319/810/779/1908/114	6
