category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04082	Neuroactive ligand signaling	8/79	199/8790	0.0402010050251256	4.47299790089689	4.71909228689711	0.000394859425372405	0.139385377156459	0.139385377156459	148/181/114/6532/2890/1128/170572/1129	8
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	8/79	253/8790	0.0316205533596838	3.51828688647621	3.87045564509162	0.00188348472739716	0.238379182781204	0.238379182781204	148/2277/779/114/7134/1128/1129/2255	8
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	5/79	104/8790	0.0480769230769231	5.34931840311587	4.24890705151464	0.00237202701916828	0.238379182781204	0.238379182781204	859/779/6445/114/7134	5
Organismal Systems	Endocrine system	hsa04927	Cortisol synthesis and secretion	4/79	65/8790	0.0615384615384615	6.84712755598832	4.50573659862916	0.00270118054143007	0.238379182781204	0.238379182781204	779/1586/114/3739	4
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	7/79	226/8790	0.0309734513274336	3.44628654643217	3.54790913097645	0.00408114124954958	0.279576305052934	0.279576305052934	64399/779/114/2890/1128/1908/1129	7
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	4/79	76/8790	0.0526315789473684	5.85609593604264	4.04887666168428	0.0047520051850357	0.279576305052934	0.279576305052934	3158/28965/6258/2167	4
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	9/79	371/8790	0.0242587601078167	2.69917090313556	3.18451305478883	0.00583303962784863	0.294151855518653	0.294151855518653	122042/148/6754/186/2890/1128/1135/1908/1129	9
Organismal Systems	Circulatory system	hsa04270	Vascular smooth muscle contraction	5/79	134/8790	0.0373134328358209	4.15170980540336	3.50097709306608	0.00699228769416212	0.308534694504904	0.308534694504904	148/779/114/5319/1908	5
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	3/79	49/8790	0.0612244897959184	6.81219323172307	3.88514109307585	0.00956776095616322	0.375268846391735	0.375268846391735	3039/3040/1440	3
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	4/79	99/8790	0.0404040404040404	4.49558879938627	3.33082896355715	0.0119434534472352	0.39565527512864	0.39565527512864	859/779/6445/7134	4
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	5/79	154/8790	0.0324675324675325	3.61252671379254	3.11468444894706	0.0123292012079746	0.39565527512864	0.39565527512864	148/779/186/114/7134	5
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	4/79	115/8790	0.0347826086956522	3.87011557512383	2.95027728077947	0.0197056080075811	0.568491259104558	0.568491259104558	779/114/1128/1129	4
Metabolism	Metabolism of cofactors and vitamins	hsa00830	Retinol metabolism	3/79	67/8790	0.0447761194029851	4.98205176648404	3.11573589515622	0.0221795128107145	0.568491259104558	0.568491259104558	1544/125/158835	3
Organismal Systems	Digestive system	hsa04977	Vitamin digestion and absorption	2/79	26/8790	0.0769230769230769	8.55890944498539	3.67573254118812	0.0225463955452233	0.568491259104558	0.568491259104558	5948/158835	2
Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	2/79	30/8790	0.0666666666666667	7.41772151898734	3.35303983760625	0.0294902535606989	0.694003967128448	0.694003967128448	1544/5319	2
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	2/79	36/8790	0.0555555555555556	6.18143459915612	2.96651993439645	0.0412643599112868	0.747777806141908	0.747777806141908	3039/3040	2
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	3/79	86/8790	0.0348837209302326	3.88136591109803	2.55703969077342	0.0420133219359893	0.747777806141908	0.747777806141908	859/779/6445	3
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	7/79	361/8790	0.0193905817174515	2.15750902906834	2.13864761832506	0.0429931296539077	0.747777806141908	0.747777806141908	2277/1128/51378/1129/2255/7143/1440	7
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	5/79	214/8790	0.0233644859813084	2.59966875665444	2.25602461658637	0.0431046284658766	0.747777806141908	0.747777806141908	1544/779/6258/114/2255	5
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	3/79	87/8790	0.0344827586206897	3.83675250982104	2.53218745772986	0.0432403913076126	0.747777806141908	0.747777806141908	2160/1361/732	3
Organismal Systems	Digestive system	hsa04976	Bile secretion	3/79	88/8790	0.0340909090909091	3.79315304948216	2.50770127591547	0.0444853652379039	0.747777806141908	0.747777806141908	361/114/8431	3
Environmental Information Processing	Signaling molecules and interaction	hsa04081	Hormone signaling	5/79	219/8790	0.0228310502283105	2.5403155886943	2.19819032259269	0.0468089104440689	0.74977174339554	0.74977174339554	148/6754/186/114/2980	5
