category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Development and regeneration	hsa04382	Cornified envelope formation	12/63	216/8790	0.0555555555555556	7.75132275132275	8.53555028419531	3.16260467891098e-08	1.11639945165558e-05	1.11639945165558e-05	6699/51702/6707/286887/3853/3854/1830/9119/5522/3868/26154/29943	12
Environmental Information Processing	Signaling molecules and interaction	hsa04519	Cadherin signaling	9/63	402/8790	0.0223880597014925	3.12366737739872	3.70320564960043	0.00211101094839488	0.372593432391696	0.372593432391696	2556/286887/3853/3854/1830/9119/3868/124590/55879	9
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	8/63	371/8790	0.0215633423180593	3.00859966628161	3.3585947534842	0.00474305177304138	0.558099091961202	0.558099091961202	1143/2556/387129/84634/90226/51083/10874/55879	8
Environmental Information Processing	Signaling molecules and interaction	hsa04082	Neuroactive ligand signaling	5/63	199/8790	0.0251256281407035	3.50562335486959	3.0375818286565	0.0137512087137837	0.678897040648081	0.678897040648081	1143/2556/3359/2792/55879	5
Metabolism	Metabolism of cofactors and vitamins	hsa00790	Folate biosynthesis	2/63	28/8790	0.0714285714285714	9.96598639455782	4.03722529595627	0.016953190885598	0.678897040648081	0.678897040648081	57016/441282	2
Organismal Systems	Sensory system	hsa04744	Phototransduction	2/63	28/8790	0.0714285714285714	9.96598639455782	4.03722529595627	0.016953190885598	0.678897040648081	0.678897040648081	810/2792	2
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	4/63	144/8790	0.0277777777777778	3.87566137566138	2.95609844970094	0.0195160699297258	0.678897040648081	0.678897040648081	64211/5013/1852/3175	4
Metabolism	Carbohydrate metabolism	hsa00052	Galactose metabolism	2/63	32/8790	0.0625	8.72023809523809	3.71715552332784	0.021842191812996	0.678897040648081	0.678897040648081	57016/441282	2
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	3/63	89/8790	0.0337078651685393	4.70304975922953	2.98316644808851	0.0257575085094703	0.678897040648081	0.678897040648081	2556/2792/55879	3
Metabolism	Carbohydrate metabolism	hsa00040	Pentose and glucuronate interconversions	2/63	35/8790	0.0571428571428571	7.97278911564626	3.51172093458079	0.0258454228729857	0.678897040648081	0.678897040648081	57016/441282	2
Metabolism	Carbohydrate metabolism	hsa00051	Fructose and mannose metabolism	2/63	36/8790	0.0555555555555556	7.75132275132275	3.44861226500312	0.0272412293354547	0.678897040648081	0.678897040648081	57016/441282	2
Human Diseases	Substance dependence	hsa05032	Morphine addiction	3/63	91/8790	0.032967032967033	4.59968602825746	2.93263607157131	0.0272792659240901	0.678897040648081	0.678897040648081	2556/2792/55879	3
