stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000037502	9606.ENSP00000286574	MYOC	WIF1	9606	0.506	0	0	0	0.06	0	0	0.497
9606.ENSP00000037502	9606.ENSP00000366015	MYOC	ANGPTL7	9606	0.651	0	0	0	0.14	0	0	0.611
9606.ENSP00000037502	9606.ENSP00000495061	MYOC	PITX2	9606	0.66	0	0	0	0	0	0	0.66
9606.ENSP00000039007	9606.ENSP00000370522	OTC	ARSH	9606	0.415	0	0	0	0.399	0	0	0.068
9606.ENSP00000181383	9606.ENSP00000262545	CPB2	PCSK2	9606	0.412	0	0	0	0.043	0.045	0	0.408
9606.ENSP00000181383	9606.ENSP00000360281	CPB2	C8B	9606	0.716	0	0	0	0.568	0	0	0.37
9606.ENSP00000181383	9606.ENSP00000205948	CPB2	APOH	9606	0.747	0	0	0	0.512	0	0	0.504
9606.ENSP00000181383	9606.ENSP00000384957	CPB2	F11	9606	0.763	0	0	0	0.281	0.126	0	0.653
9606.ENSP00000205948	9606.ENSP00000384957	APOH	F11	9606	0.488	0	0	0	0.279	0.046	0	0.316
9606.ENSP00000205948	9606.ENSP00000296130	APOH	CLEC3B	9606	0.507	0	0	0	0	0	0.4	0.213
9606.ENSP00000205948	9606.ENSP00000296029	APOH	PF4	9606	0.763	0	0	0	0	0.292	0	0.68
9606.ENSP00000215743	9606.ENSP00000260302	MMP11	MMP13	9606	0.443	0	0	0.128	0.26	0	0	0.205
9606.ENSP00000215743	9606.ENSP00000359114	MMP11	COL11A1	9606	0.732	0	0	0	0.323	0.05	0	0.616
9606.ENSP00000215743	9606.ENSP00000322788	MMP11	MMP1	9606	0.772	0	0	0.113	0.149	0	0.5	0.468
9606.ENSP00000216075	9606.ENSP00000352584	MIOX	AKR1B10	9606	0.82	0	0.04	0	0.103	0	0	0.808
9606.ENSP00000216862	9606.ENSP00000358903	CYP24A1	CYP17A1	9606	0.638	0	0	0.223	0.111	0.097	0	0.488
9606.ENSP00000216862	9606.ENSP00000300900	CYP24A1	CA4	9606	0.77	0	0	0	0.076	0	0	0.761
9606.ENSP00000216862	9606.ENSP00000367608	CYP24A1	CA9	9606	0.784	0	0	0	0.117	0	0	0.765
9606.ENSP00000217423	9606.ENSP00000305731	CST4	CST1	9606	0.929	0	0	0.05	0.783	0.681	0	0.059
