Gene_A	Gene_B	Score
HOXA11	HOXC10	0.4
HOXA11	HOXD13	0.418
HOXA11	HOXC8	0.42
HOXA11	HOXD10	0.432
HOXA11	SALL1	0.435
HOXA11	ZIC2	0.472
HOXA11	HOXA13	0.757
HOXA11	HOXA10	0.866
YBX2	DMRT1	0.46
YBX2	SOHLH1	0.897
KRT33A	SPRR2A	0.403
KRT33A	KRT9	0.439
KRT33A	KRT17	0.456
KRT33A	KRT14	0.46
KRT33A	KRT16	0.47
KRT33A	KRT32	0.485
KRT33A	DSG4	0.528
KRT33A	SPRR3	0.541
KRT33A	KRT34	0.707
KRT33A	KRT31	0.776
HOXC8	HOXC12	0.401
HOXC8	SHOX2	0.404
HOXC8	PAX6	0.409
HOXC8	HOXA10	0.415
HOXC8	HOXB9	0.421
HOXC8	DLX5	0.422
HOXC8	HOXC11	0.452
HOXC8	HOXC13	0.49
HOXC8	HOXC10	0.615
HOXC8	HOXC9	0.883
KRT14	SPRR3	0.408
KRT14	CLCA2	0.413
KRT14	TGM5	0.417
KRT14	SPRR1A	0.424
KRT14	KRT32	0.425
KRT14	KRT34	0.427
KRT14	HOXC13	0.437
KRT14	CALML3	0.442
KRT14	KRT31	0.446
KRT14	S100A7	0.455
KRT14	INA	0.464
KRT14	LYPD3	0.509
KRT14	TRIM29	0.519
KRT14	SOX2	0.52
KRT14	KRT9	0.537
KRT14	S100A2	0.553
KRT14	KRT6C	0.554
KRT14	COL7A1	0.557
KRT14	SPRR1B	0.564
KRT14	DSC3	0.565
KRT14	SERPINB5	0.566
KRT14	LGALS7	0.612
KRT14	IVL	0.702
KRT14	KRT3	0.709
KRT14	DSG1	0.717
KRT14	KRT6A	0.732
KRT14	PKP1	0.777
KRT14	DSG3	0.778
KRT14	KRT17	0.814
KRT14	KRT6B	0.835
KRT14	COL17A1	0.839
KRT14	KRT16	0.868
KRT14	KRT5	0.999
DMRT3	RDM1	0.423
DMRT3	LHX2	0.438
DMRT3	DMRTA2	0.444
DMRT3	FOXL2	0.464
DLL3	SOX2	0.453
DLL3	DLX1	0.466
DLL3	DLX2	0.492
MMP11	MYBL2	0.439
MMP11	MMP13	0.443
MMP11	COL11A1	0.732
MMP11	MMP1	0.772
MMP11	MMP10	0.78
MYBL2	SKA1	0.402
MYBL2	S100A7	0.403
MYBL2	SGO1	0.435
MYBL2	GTSE1	0.449
MYBL2	TICRR	0.457
MYBL2	NEK2	0.495
MYBL2	CDCA2	0.511
MYBL2	TROAP	0.526
MYBL2	DEPDC1	0.541
MYBL2	ASPM	0.543
MYBL2	SKA3	0.545
MYBL2	MCM10	0.557
MYBL2	PBK	0.563
MYBL2	SOX2	0.57
MYBL2	CDCA3	0.586
MYBL2	E2F7	0.586
MYBL2	KIF18B	0.589
MYBL2	CDC25C	0.591
MYBL2	HJURP	0.599
MYBL2	PKMYT1	0.621
MYBL2	CENPA	0.63
MYBL2	NUF2	0.631
MYBL2	EXO1	0.633
MYBL2	TTK	0.635
MYBL2	DLGAP5	0.646
MYBL2	BUB1B	0.655
MYBL2	RAD54L	0.683
MYBL2	KIF4A	0.692
MYBL2	CDC45	0.693
MYBL2	KIF2C	0.694
MYBL2	AURKB	0.704
MYBL2	KIF14	0.726
MYBL2	TPX2	0.747
MYBL2	UBE2C	0.773
MYBL2	TFAP2A	0.843
MYBL2	BIRC5	0.844
MYBL2	CDC20	0.865
MYBL2	MELK	0.894
MYBL2	FOXM1	0.998
CST4	CST1	0.929
GPR50	KRT74	0.442
TGM5	AMTN	0.408
TGM5	COL17A1	0.41
TGM5	GRHL3	0.437
TGM5	DSG1	0.443
TGM5	ALOXE3	0.472
TGM5	KLK8	0.504
TGM5	PKP1	0.586
TGM5	DSG4	0.669
TGM5	IVL	0.699
RHOV	DEPDC1B	0.571
SLC1A6	SLC15A1	0.486
CYP26A1	NR0B1	0.474
CYP26A1	SDR9C7	0.603
CYP26A1	UGT1A7	0.709
CYP26A1	UGT1A1	0.715
CYP26A1	UGT1A6	0.721
CYP26A1	STRA6	0.739
CYP26A1	ADH7	0.936
KRT32	HOXC12	0.418
KRT32	KRT17	0.423
KRT32	KRT16	0.442
KRT32	KRT34	0.49
KRT32	KRT31	0.51
KRT32	KRT9	0.558
IBSP	COL11A1	0.43
IBSP	NKX3-2	0.469
IBSP	TWIST1	0.507
IBSP	DLX2	0.516
IBSP	AMTN	0.539
IBSP	PTHLH	0.557
IBSP	DLX5	0.648
IBSP	MMP13	0.682
IBSP	MMP3	0.922
TLX2	LHX2	0.407
TLX2	DQX1	0.435
TLX2	LMO1	0.572
DLX2	POU4F1	0.402
DLX2	LHX5	0.44
DLX2	NKX3-2	0.471
DLX2	DLX5	0.493
DLX2	LHX2	0.535
DLX2	SOX2	0.554
DLX2	SP9	0.564
DLX2	SP8	0.624
DLX2	PAX6	0.808
DLX2	DLX1	0.877
KISS1R	NR0B1	0.4
KISS1R	NPSR1	0.432
KISS1R	NMU	0.557
GDA	SLCO6A1	0.424
GJA3	GJB6	0.42
GJA3	GJB5	0.427
GJA3	CALML3	0.514
