Gene	Degree	Status	logFC	Score_C1	NodeStatus_C1	Cluster_C1	Score_C2	NodeStatus_C2	Cluster_C2	Score_C3	NodeStatus_C3	Cluster_C3
KRT6C	6	Upregulated	0.5964	5	Clustered	NA	5	Clustered	NA	5	Clustered	NA
DSG3	6	Upregulated	0.5937	5	Seed	NA	5	Seed	NA	5	Seed	NA
KRT6A	10	Upregulated	0.6497	4.76190476190476	Clustered	Cluster 7	4.76190476190476	Clustered	Cluster 7	4.76190476190476	Clustered	Cluster 7
KRT6B	11	Upregulated	0.5924	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA
KRT16	12	Upregulated	0.6894	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA
SPRR1B	9	Upregulated	0.6494	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA
SPRR3	8	Upregulated	0.5554	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA	4.76190476190476	Clustered	NA
KRT75	5	Upregulated	0.518	4	Clustered	NA	4	Clustered	NA	4	Clustered	NA
AGER	6	Downregulated	-0.5659	3	Seed	Cluster 5	3	Seed	Cluster 5	3	Seed	Cluster 5
SERPINB5	3	Upregulated	0.6429	3	Unclustered	Cluster 14	3	Unclustered	Cluster 14	3	Unclustered	Cluster 14
SBSN	4	Upregulated	0.5174	3	Unclustered	Cluster 3	3	Unclustered	Cluster 3	3	Unclustered	Cluster 3
MMP11	3	Upregulated	0.5163	3	Unclustered	Cluster 11	3	Unclustered	Cluster 11	3	Unclustered	Cluster 11
IBSP	5	Upregulated	0.5591	3	Unclustered	NA	3	Unclustered	NA	3	Unclustered	NA
KISS1R	5	Upregulated	0.6126	3	Unclustered	NA	3	Unclustered	NA	3	Unclustered	NA
GNGT1	7	Upregulated	0.7453	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
HBA2	3	Downregulated	-0.5029	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
SSTR4	4	Downregulated	-0.5469	3	Unclustered	NA	3	Unclustered	NA	3	Unclustered	NA
SLC6A4	8	Downregulated	-0.8002	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
FGF10	14	Downregulated	-0.5685	3	Unclustered	NA	3	Unclustered	NA	3	Unclustered	NA
GAL	5	Upregulated	0.6132	3	Unclustered	NA	3	Unclustered	NA	3	Unclustered	NA
SCGB1A1	5	Downregulated	-0.6231	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
CHRM1	6	Downregulated	-0.7721	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
SFTPC	7	Downregulated	-0.7344	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
EDN3	7	Downregulated	-0.6609	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
CLDN18	5	Downregulated	-0.6902	3	Clustered	NA	3	Clustered	NA	3	Clustered	NA
GYPE	5	Downregulated	-0.5321	3	Seed	NA	3	Seed	NA	3	Seed	NA
CHRNA2	4	Downregulated	-0.6673	2.7	Clustered	Cluster 13	2.7	Clustered	Cluster 13	2.7	Clustered	Cluster 13
MMP12	4	Upregulated	0.5401	2.7	Unclustered	Cluster 1	2.7	Unclustered	Cluster 1	2.7	Unclustered	Cluster 1
CHRM2	8	Downregulated	-0.757	2.7	Clustered	Cluster 5	2.7	Clustered	Cluster 5	2.7	Clustered	Cluster 5
ALAS2	5	Downregulated	-0.5595	2.7	Clustered	Cluster 12	2.7	Clustered	Cluster 12	2.7	Clustered	Cluster 12
KLK6	4	Upregulated	0.5632	2.7	Unclustered	Cluster 9	2.7	Unclustered	Cluster 9	2.7	Unclustered	Cluster 9
CSF3	10	Downregulated	-0.5108	2.7	Unclustered	NA	2.7	Unclustered	NA	2.7	Unclustered	NA
CHRNB4	4	Upregulated	0.5861	2.7	Clustered	NA	2.7	Clustered	NA	2.7	Clustered	NA
SLC4A1	7	Downregulated	-0.525	2.7	Clustered	NA	2.7	Clustered	NA	2.7	Clustered	NA
HBA1	4	Downregulated	-0.7087	2.7	Clustered	NA	2.7	Clustered	NA	2.7	Clustered	NA
SERPINB4	8	Upregulated	0.5576	2.7	Unclustered	NA	2.7	Unclustered	NA	2.7	Unclustered	NA
COL11A1	6	Upregulated	0.6296	2.4	Unclustered	Cluster 12	2.4	Unclustered	Cluster 12	2.4	Unclustered	Cluster 12
NPSR1	6	Upregulated	0.5379	2.4	Clustered	Cluster 3	2.4	Clustered	Cluster 3	2.4	Clustered	Cluster 3
MMP13	7	Upregulated	0.6327	2.14285714285714	Seed	NA	2.14285714285714	Seed	NA	2.14285714285714	Seed	NA
LHX2	8	Upregulated	0.5882	2	Clustered	Cluster 5	2	Clustered	Cluster 5	2	Clustered	Cluster 5
FOXE1	3	Upregulated	0.6819	2	Unclustered	Cluster 1	2	Unclustered	Cluster 1	2	Unclustered	Cluster 1
ZIC2	6	Upregulated	0.7267	2	Seed	Cluster 3	2	Seed	Cluster 3	2	Seed	Cluster 3
TRIM71	2	Downregulated	-0.5343	2	Clustered	Cluster 10	2	Clustered	Cluster 10	2	Clustered	Cluster 10
PRAME	3	Upregulated	0.8499	2	Clustered	Cluster 5	2	Clustered	Cluster 5	2	Clustered	Cluster 5
FAM216B	5	Downregulated	-0.5049	2	Seed	Cluster 3	2	Seed	Cluster 3	2	Seed	Cluster 3
F11	4	Downregulated	-0.7575	2	Seed	Cluster 13	2	Seed	Cluster 13	2	Seed	Cluster 13
STRA6	3	Upregulated	0.5086	2	Unclustered	Cluster 1	2	Unclustered	Cluster 1	2	Unclustered	Cluster 1
H2BC9	2	Upregulated	0.5784	2	Seed	Cluster 1	2	Seed	Cluster 1	2	Seed	Cluster 1
CPB2	4	Downregulated	-0.7272	2	Clustered	Cluster 11	2	Clustered	Cluster 11	2	Clustered	Cluster 11
