from	to	score
CYP26B1	CYP2J2	0.000416
CYP26B1	RBP2	0.000416
CYP26B1	CYP2E1	0.000422
CYP26B1	BCO1	0.000437
CYP26B1	SOX9	0.00044
CYP26B1	PXDN	0.000444
CYP26B1	RPS4X	0.000445
CYP26B1	CYB5A	0.000453
CYP26B1	AASDH	0.000517
CYP26B1	STRA6	0.000654
CYP26B1	LRAT	0.000681
CYP26B1	UGT1A3	0.000687
CYP26B1	UGT1A5	0.000687
CYP26B1	UGT2B17	0.000687
CYP26B1	UGT2B28	0.000687
CYP26B1	UGT2B4	0.000687
CYP26B1	UGT2B11	0.000687
CYP26B1	UGT2A3	0.000687
CYP26B1	UGT2B15	0.000687
CYP26B1	UGT2B10	0.000687
CYP26B1	CYP1B1	0.000688
CYP26B1	UGT1A9	0.000696
CYP26B1	UGT1A1	0.000696
CYP26B1	UGT1A4	0.000696
CYP26B1	UGT1A8	0.000697
CYP26B1	UGT1A10	0.000697
CYP26B1	UGT1A7	0.000697
CYP26B1	UGT2A2	0.000702
CYP26B1	UGT1A6	0.000706
CYP26B1	UGT2B7	0.000714
CYP26B1	CYP26A1	0.000919
CYP26B1	AOX1	0.000921
CYP26B1	CYP26C1	0.000922
CYP26B1	CYP4A11	0.000926
CYP26B1	CYP4A22	0.000927
CYP26B1	CYP3A5	0.000935
CYP26B1	CYP2A6	0.000936
CYP26B1	CYP2B6	0.000936
CYP26B1	CYP2C9	0.000938
CYP26B1	CYP3A4	0.000939
CYP26B1	CYP2C8	0.00094
CYP26B1	CYP1A2	0.000945
CYP26B1	ALDH1A3	0.000973
CYP26B1	ALDH1A2	0.000988
CACNG3	AKAP5	0.000401
CACNG3	GABRA6	0.000406
CACNG3	SLC12A5	0.000436
CACNG3	EPB41L1	0.000444
CACNG3	CAMK2G	0.00046
CACNG3	DLG1	0.000461
CACNG3	GSG1L	0.00048
CACNG3	GABRG2	0.000489
CACNG3	GABRA1	0.000503
CACNG3	CACNA1I	0.000513
CACNG3	ADAM23	0.00052
CACNG3	OLFM3	0.000521
CACNG3	ADAM22	0.000535
CACNG3	HTR3C	0.00054
CACNG3	HTR3D	0.00054
CACNG3	HTR3E	0.000543
CACNG3	DLG2	0.000555
CACNG3	LGI1	0.000571
CACNG3	SHISA8	0.000572
CACNG3	HTR3B	0.000586
CACNG3	GRID2	0.000587
CACNG3	VWC2	0.000596
CACNG3	GRIK4	0.000608
CACNG3	GRIK2	0.000628
CACNG3	VWC2L	0.000632
CACNG3	OXTR	0.00066
CACNG3	GRIK3	0.000662
CACNG3	DLG4	0.000663
CACNG3	CACNA1B	0.000688
CACNG3	CACNA1G	0.000697
CACNG3	SHISA7	0.000717
CACNG3	SHISA6	0.00072
CACNG3	RYR1	0.000733
CACNG3	HTR3A	0.000737
CACNG3	OLFM2	0.000742
CACNG3	GRIN2D	0.000748
CACNG3	CACNG2	0.000756
CACNG3	GRIN3B	0.000769
CACNG3	GRIN2C	0.000788
CACNG3	GRIN3A	0.000794
CACNG3	GRIN2A	0.000794
CACNG3	GRIN2B	8e-04
CACNG3	CNIH3	0.000804
CACNG3	CACNG5	0.000814
CACNG3	CACNA1A	0.000815
CACNG3	CACNA1H	0.000818
CACNG3	SHISA9	0.00082
CACNG3	GRIN1	0.00083
CACNG3	CNIH2	0.000835
CACNG3	GRIA3	0.000852
CACNG3	GRIA1	0.000867
CACNG3	GRIA4	0.000869
CACNG3	CACNG4	0.000905
CACNG3	CACNA1C	0.00091
CACNG3	CACNG8	0.000913
CACNG3	GRIA2	0.000923
CACNG3	CACNA1F	0.000927
CACNG3	CACNG7	0.000939
CACNG3	CACNA1D	0.000957
MYOC	USH2A	4e-04
MYOC	APOA4	0.000406
MYOC	CPAMD8	0.000407
MYOC	SFRP1	0.000412
MYOC	MAP2	0.000428
MYOC	FZD7	0.000434
MYOC	FZD1	0.000451
MYOC	ERBB2	0.000481
MYOC	WIF1	0.000506
MYOC	GTF3A	0.000508
MYOC	MFAP5	0.000512
MYOC	FZD10	0.000517
MYOC	PLAT	0.000542
MYOC	DCN	0.000544
MYOC	SIX6	0.000545
MYOC	CAV2	0.000564
MYOC	OCLM	0.000573
MYOC	ANGPTL7	0.000651
MYOC	GAPDH	0.000674
MYOC	LMX1B	0.000682
MYOC	MYL2	0.00069
MYOC	SNCG	0.000731
MYOC	FN1	0.000777
MYOC	SPARCL1	0.000856
MYOC	FLOT1	0.000898
MYOC	CYP1B1	0.000944
MYOC	OLFM3	0.000963
OTC	AASDH	0.000407
OTC	SGCD	0.000412
OTC	F7	0.000412
OTC	GAPDH	0.000422
OTC	UTRN	0.000422
OTC	NEB	0.000424
OTC	SGCA	0.000426
OTC	GATA1	0.000431
OTC	SYN1	0.000436
OTC	STS	0.000447
OTC	PCK1	0.000448
OTC	G6PD	0.000456
OTC	SGCB	0.000467
OTC	CYP3A4	0.000469
OTC	DMD	0.000475
OTC	SLC25A4	0.000499
OTC	FABP1	0.000507
OTC	APOC3	0.000508
OTC	PAH	0.000516
OTC	SNTB1	0.000546
OTC	FABP2	0.000564
OTC	F9	0.000567
OTC	H6PD	0.000632
OTC	APOB	0.000646
OTC	H7C0S8_HUMAN	0.000814
OTC	PGM2	0.000824
OTC	PYGM	0.000836
OTC	PGM5	0.00087
OTC	PGM1	0.00087
OTC	NOS1	0.000923
OTC	NOS3	0.000923
DCN	B3GAT2	4e-04
DCN	SERPINC1	0.000402
DCN	CCL2	0.000407
DCN	AKT1	0.000408
DCN	CD34	0.000415
DCN	ITGB1	0.000425
DCN	CTNNB1	0.000428
DCN	LPL	0.000432
DCN	CLEC3B	0.000433
DCN	A2M	0.000434
DCN	SPARCL1	0.000436
DCN	PAH	0.000437
DCN	PECAM1	0.000441
DCN	BMP2	0.000442
DCN	GDF5	0.000448
DCN	SOX9	0.000457
DCN	ITGB5	0.000462
DCN	ALB	0.000463
DCN	FGF21	0.000464
DCN	RUNX2	0.000468
DCN	AGT	0.000479
DCN	MFAP5	0.00049
DCN	APP	0.000495
DCN	WNT3A	0.000508
DCN	PLAT	0.000513
DCN	FGF1	0.000516
DCN	PDGFRB	0.00052
DCN	CD44	0.000523
DCN	ADAMTS5	0.000538
DCN	ENG	0.00055
DCN	CAP1	0.000555
DCN	IL6	0.000563
DCN	BMP4	0.000582
DCN	C1R	0.000584
DCN	SERPINF1	0.000588
DCN	C1S	0.000608
DCN	SERPINE1	0.000612
DCN	COL18A1	0.000631
DCN	BMP1	0.000634
DCN	GAPDH	0.00064
DCN	IL1B	0.000643
DCN	PLG	0.000646
DCN	FGF13	0.000661
DCN	IGF1R	0.000668
DCN	VWF	0.00067
DCN	GPC3	0.00068
DCN	INS	0.000686
DCN	MMP9	0.000713
DCN	NID1	0.000724
DCN	BGLAP	0.000731
DCN	SDC4	0.000742
DCN	BCAN	0.000754
DCN	SFTPD	0.000794
DCN	PDGFRA	0.000826
DCN	FGF2	0.000834
DCN	HGF	0.000837
DCN	THBS1	0.000854
DCN	RETN	0.000887
DCN	TNF	9e-04
DCN	FGF5	0.000905
DCN	FGF17	0.000905
DCN	ERBB3	0.000913
DCN	EGF	0.000917
DCN	ERBB4	0.000922
DCN	KDR	0.000931
DCN	SDC1	0.000935
DCN	FGF8	0.000936
DCN	FGF3	0.000936
DCN	FGF4	0.000936
DCN	FGF9	0.000937
DCN	FGF18	0.000937
DCN	FGF20	0.000938
DCN	FGF16	0.000938
DCN	CCN2	0.000939
DCN	FGF22	0.00094
DCN	FGF10	0.000943
DCN	VTN	0.000945
DCN	FGF7	0.000954
DCN	ERBB2	0.000958
DCN	ACAN	0.000962
DCN	MET	0.000986
DCN	IGF1	0.000989
DCN	FN1	0.000996
DCN	EGFR	0.000999
DCN	TGFB1	0.000999
GNA11	ARRB2	0.000405
GNA11	ARRB1	0.000412
GNA11	GAST	0.000452
GNA11	P2RY2	0.000461
GNA11	RIC8B	0.000468
GNA11	EDN1	0.000489
GNA11	KDR	0.000496
GNA11	PDYN	0.000499
