id	is_DEG	is_upregulated	is_downregulated	is_key_gene	logFC
CYP26B1	FALSE	FALSE	FALSE	FALSE	-0.0575101835467171
CACNG3	FALSE	FALSE	FALSE	FALSE	0.0561313357365414
MYOC	TRUE	FALSE	TRUE	FALSE	-0.828320160855082
OTC	TRUE	FALSE	TRUE	FALSE	-0.721909035060804
DCN	FALSE	FALSE	FALSE	FALSE	-0.135625728196164
GNA11	FALSE	FALSE	FALSE	FALSE	-0.05417503591298
PYGM	FALSE	FALSE	FALSE	FALSE	-0.241385241019309
VASH1	FALSE	FALSE	FALSE	FALSE	-0.133409519729408
SPP2	FALSE	FALSE	FALSE	FALSE	0.406162481832695
FGF4	FALSE	FALSE	FALSE	FALSE	0.0582408535791901
NGFR	FALSE	FALSE	FALSE	FALSE	0.028383848139514
DRD4	FALSE	FALSE	FALSE	FALSE	0.133463422890702
FGF20	FALSE	FALSE	FALSE	FALSE	0.0785533976049235
CPB2	TRUE	FALSE	TRUE	FALSE	-0.727242324624854
HBQ1	FALSE	FALSE	FALSE	FALSE	-0.0768059286087617
ITGB4	FALSE	FALSE	FALSE	FALSE	0.148850561294929
SULT2B1	FALSE	FALSE	FALSE	FALSE	-0.134865353165365
AASDH	FALSE	FALSE	FALSE	FALSE	0.0132561427539928
APOH	TRUE	FALSE	TRUE	FALSE	-0.537580997747805
ADH1A	FALSE	FALSE	FALSE	FALSE	-0.492292273310052
GSTA3	FALSE	FALSE	FALSE	FALSE	-0.485366265558767
FGF22	FALSE	FALSE	FALSE	FALSE	-0.090287305602148
SERPIND1	FALSE	FALSE	FALSE	FALSE	-0.291653423430691
SEC14L3	TRUE	FALSE	TRUE	FALSE	-0.711177757992097
PLA2G3	FALSE	FALSE	FALSE	FALSE	-0.296912022118411
PVALB	FALSE	FALSE	FALSE	FALSE	-0.195172101154688
CNIH1	FALSE	FALSE	FALSE	FALSE	0.0146480003266607
RSPO4	FALSE	FALSE	FALSE	FALSE	-0.41053385572432
PROKR2	FALSE	FALSE	FALSE	FALSE	-0.00247785687128932
SNTA1	FALSE	FALSE	FALSE	FALSE	0.0241080289244922
OXT	FALSE	FALSE	FALSE	FALSE	0.137276122382087
SLC32A1	FALSE	FALSE	FALSE	FALSE	-0.0570033827027201
STS	FALSE	FALSE	FALSE	FALSE	-0.0945006168126472
F9	FALSE	FALSE	FALSE	FALSE	0.0146865715172595
SGCG	TRUE	FALSE	TRUE	FALSE	-0.574610600279788
SLC6A2	FALSE	FALSE	FALSE	FALSE	0.13019589372355
SFRP1	FALSE	FALSE	FALSE	FALSE	-0.141401567109086
PLAT	FALSE	FALSE	FALSE	FALSE	0.0479899885422039
DKK4	FALSE	FALSE	FALSE	FALSE	0.225028074695292
CYP4F3	FALSE	FALSE	FALSE	FALSE	0.124475332470857
SLC17A7	FALSE	FALSE	FALSE	FALSE	-0.0184384360332555
RETN	TRUE	FALSE	TRUE	FALSE	-0.613103749051326
CYP4F2	FALSE	FALSE	FALSE	FALSE	0.144190725113594
APLP1	FALSE	FALSE	FALSE	FALSE	-0.00888007055129769
TGFB1	FALSE	FALSE	FALSE	FALSE	-0.0440091598038261
HGF	FALSE	FALSE	FALSE	FALSE	-0.197549067727172
ITGB8	FALSE	FALSE	FALSE	FALSE	0.134077507122583
CAV2	FALSE	FALSE	FALSE	FALSE	-0.19364127856654
STX1A	FALSE	FALSE	FALSE	FALSE	0.246907982282631
CYP3A5	FALSE	FALSE	FALSE	FALSE	-0.0825011706908798
SERPINE1	FALSE	FALSE	FALSE	FALSE	-0.0117843298477194
FKTN	FALSE	FALSE	FALSE	FALSE	0.0321948801576371
C5	FALSE	FALSE	FALSE	FALSE	-0.168701778573862
CYP26A1	FALSE	FALSE	FALSE	FALSE	0.376407638835792
WNT3	FALSE	FALSE	FALSE	FALSE	0.156785621820752
CCL2	FALSE	FALSE	FALSE	FALSE	-0.13305661700962
VTN	FALSE	FALSE	FALSE	FALSE	-0.342005894714824
APOC3	FALSE	FALSE	FALSE	FALSE	-0.0806429044646082
DGAT2	FALSE	FALSE	FALSE	FALSE	0.0363021533729926
GLI1	FALSE	FALSE	FALSE	FALSE	-0.00809918363846318
MYL2	FALSE	FALSE	FALSE	FALSE	0.0219143737512146
FZD10	FALSE	FALSE	FALSE	FALSE	0.0764429929508266
GNB3	FALSE	FALSE	FALSE	FALSE	0.22909872424859
B3GAT2	FALSE	FALSE	FALSE	FALSE	0.0088385307820138
PRPH2	FALSE	FALSE	FALSE	FALSE	-0.121851417903624
HRG	FALSE	FALSE	FALSE	FALSE	0.316610733294306
RBP2	TRUE	FALSE	TRUE	FALSE	-0.590804661484441
TNNC1	TRUE	FALSE	TRUE	FALSE	-0.536861629999215
TFPI	FALSE	FALSE	FALSE	FALSE	-0.14214543389825
APOB	FALSE	FALSE	FALSE	FALSE	-0.223721447660367
WNT6	FALSE	FALSE	FALSE	FALSE	0.260848258262395
PROC	FALSE	FALSE	FALSE	FALSE	0.292819059879143
GRIN3B	FALSE	FALSE	FALSE	FALSE	-0.136395759002362
OPRD1	FALSE	FALSE	FALSE	FALSE	0.00310367977939396
APOA1	FALSE	FALSE	FALSE	FALSE	-0.391365918931714
CRIPT	FALSE	FALSE	FALSE	FALSE	0.0537998994176414
MYOT	FALSE	FALSE	FALSE	FALSE	0.00127799782152138
IAPP	FALSE	FALSE	FALSE	FALSE	0.156972000208026
KALRN	FALSE	FALSE	FALSE	FALSE	-0.0740061733137392
GHSR	FALSE	FALSE	FALSE	FALSE	0.0161661186653657
GSTM2	FALSE	FALSE	FALSE	FALSE	0.021255828110224
FLT3	FALSE	FALSE	FALSE	FALSE	-0.144829506636061
AHR	FALSE	FALSE	FALSE	FALSE	-0.0354235566407972
SSPN	FALSE	FALSE	FALSE	FALSE	-0.0717858983882964
KCNJ2	FALSE	FALSE	FALSE	FALSE	-0.0588754751146316
PLA2G12A	FALSE	FALSE	FALSE	FALSE	-0.0441511783117621
C4BPB	FALSE	FALSE	FALSE	FALSE	-0.157352899970846
MC3R	FALSE	FALSE	FALSE	FALSE	0.0557162922333099
LIPE	FALSE	FALSE	FALSE	FALSE	-0.000956055894286045
TREM1	FALSE	FALSE	FALSE	FALSE	-0.222192553799325
GOT2	FALSE	FALSE	FALSE	FALSE	0.0631707627764495
BMP4	FALSE	FALSE	FALSE	FALSE	-0.106985058077249
SOX9	FALSE	FALSE	FALSE	FALSE	0.079017677804905
C3	FALSE	FALSE	FALSE	FALSE	-0.112135680125525
SLURP1	FALSE	FALSE	FALSE	FALSE	0.229433593509479
GDF1	FALSE	FALSE	FALSE	FALSE	-0.00666272349835761
PLA2G2C	FALSE	FALSE	FALSE	FALSE	0.0244687790041729
GNG11	FALSE	FALSE	FALSE	FALSE	-0.23420454449808
GGT1	FALSE	FALSE	FALSE	FALSE	-0.085729889221664
TAS2R16	FALSE	FALSE	FALSE	FALSE	-0.0108529013058178
VGF	FALSE	FALSE	FALSE	FALSE	0.427056745196019
SMO	FALSE	FALSE	FALSE	FALSE	0.131688113175761
ALDH1A2	FALSE	FALSE	FALSE	FALSE	-0.309687802595544
TPH1	FALSE	FALSE	FALSE	FALSE	-0.0231601274114661
RPS4Y1	FALSE	FALSE	FALSE	FALSE	-0.0185746687466244
UGT2A3	FALSE	FALSE	FALSE	FALSE	0.0451454685928665
HBA2	TRUE	FALSE	TRUE	FALSE	-0.502870407010579
DHX29	FALSE	FALSE	FALSE	FALSE	-0.0092032474848871
APOE	FALSE	FALSE	FALSE	FALSE	-0.0341769715093223
PXDN	FALSE	FALSE	FALSE	FALSE	0.0297073498831324
HBZ	FALSE	FALSE	FALSE	FALSE	-0.0958702403624425
HIGD1B	FALSE	FALSE	FALSE	FALSE	-0.378924240603888
KRTAP9-8	FALSE	FALSE	FALSE	FALSE	0.00067808056563079
PPP1R1B	FALSE	FALSE	FALSE	FALSE	-0.188771929922741
C19orf57	FALSE	FALSE	FALSE	FALSE	NA
SERPINF1	FALSE	FALSE	FALSE	FALSE	0.0167871079558202
SNAP25	FALSE	FALSE	FALSE	FALSE	-0.0427812610495737
CRP	FALSE	FALSE	FALSE	FALSE	-0.050673791193903
APCS	FALSE	FALSE	FALSE	FALSE	0.0402774513616273
CHRM3	FALSE	FALSE	FALSE	FALSE	-0.0494932217474773
SEC14L4	FALSE	FALSE	FALSE	FALSE	-0.279717124927176
KRAS	FALSE	FALSE	FALSE	FALSE	0.0431122959125849
FABP4	TRUE	FALSE	TRUE	FALSE	-0.623137975639006
PEBP4	TRUE	FALSE	TRUE	FALSE	-0.571525941761756
CHL1	FALSE	FALSE	FALSE	FALSE	0.00962855268345475
GSTM5	FALSE	FALSE	FALSE	FALSE	-0.319836184466859
PDGFRA	FALSE	FALSE	FALSE	FALSE	-0.0726085633806326
