from	to	score
TFAP2D	CITED4	0.000535
TFAP2D	CITED2	0.000572
TFAP2D	KCTD1	0.000599
TFAP2D	KCTD15	0.000599
TFAP2D	TFAP2C	0.000641
TFAP2D	TFAP2B	0.000795
TFAP2D	TFAP2A	0.000836
ERCC1	ACTB	0.000403
ERCC1	PLK1	0.000409
ERCC1	TERT	0.000413
ERCC1	DCLK1	0.000426
ERCC1	H2AX	0.000441
ERCC1	BCL2	0.000449
ERCC1	TERF2	0.000459
ERCC1	TOP2A	0.000475
ERCC1	RTEL1	0.00048
ERCC1	RAD54L	0.000487
ERCC1	HRAS	0.000493
ERCC1	NEIL3	0.000494
ERCC1	TERF2IP	0.00051
ERCC1	NEIL1	0.000528
ERCC1	KRAS	0.00053
ERCC1	TUBB3	0.000595
ERCC1	CTNNB1	0.000602
ERCC1	CHEK1	0.000621
ERCC1	MGMT	0.000631
ERCC1	CENPX	0.000632
ERCC1	EGFR	0.000665
ERCC1	TP53	0.000696
ERCC1	BLM	0.000701
ERCC1	TYMS	0.00072
ERCC1	ATR	0.000739
ERCC1	CHEK2	0.000739
ERCC1	EXO1	0.000848
ERCC1	PARP1	0.000869
ERCC1	MLH1	0.000873
ERCC1	BRCA2	0.000877
ERCC1	RPA1	0.000898
ERCC1	FANCI	0.000907
ERCC1	RAD51	0.000908
ERCC1	BRCA1	0.00093
ERCC1	FEN1	0.000946
ERCC1	PRKDC	0.000958
ERCC1	LIG4	0.000966
ERCC1	XRCC6	0.000972
ERCC1	RAD52	0.000974
ERCC1	XRCC5	0.000982
GABARAPL2	GABRG2	0.000407
GABARAPL2	CASP3	0.000428
GABARAPL2	NSF	0.000442
GABARAPL2	GPSM1	0.000457
GABARAPL2	BCL2L1	0.00046
GABARAPL2	CALML3	0.000483
GABARAPL2	TP53	0.000491
GABARAPL2	TERF2IP	0.000491
GABARAPL2	EGFR	0.000502
GABARAPL2	GAPDH	0.00052
GABARAPL2	ACTB	0.000525
GABARAPL2	BCL2	0.000528
GABARAPL2	BRCA1	0.000551
GABARAPL2	HSP90AA1	0.000641
GABARAPL2	GABRQ	0.00065
GABARAPL2	GABRD	0.00065
GABARAPL2	GABRP	0.000651
GABARAPL2	GABRB1	0.000658
GABARAPL2	GABRB2	0.000663
GABARAPL2	GABRB3	0.000674
GABARAPL2	GABRE	0.000731
GABARAPL2	GABRA5	0.000741
GABARAPL2	GABRA3	0.000741
GABARAPL2	GABRA1	0.000741
GABARAPL2	GABRA6	0.000762
GABARAPL2	GABRA4	0.000766
GABARAPL2	GABRG1	0.00078
GABARAPL2	GABRG3	0.00078
GABARAPL2	PRKACG	0.000937
GABARAPL2	PRKACB	0.000938
GABARAPL2	PRKACA	0.000938
GABARAPL2	GABARAPL1	0.000952
GABARAPL2	BNIP3	0.000997
HOXC8	HOXC12	0.000401
HOXC8	SHOX2	0.000404
HOXC8	PAX6	0.000409
HOXC8	HOXD9	0.000413
HOXC8	MSX1	0.000413
HOXC8	POU3F1	0.000414
HOXC8	DLX5	0.000422
HOXC8	TBX15	0.000434
HOXC8	IRX6	0.000435
HOXC8	HOXC11	0.000452
HOXC8	TBX1	0.000459
HOXC8	MEIS2	0.000484
HOXC8	HOXC13	0.00049
HOXC8	WDR5	0.000548
HOXC8	HOXC5	0.000556
HOXC8	PBX2	0.000598
HOXC8	ISL1	0.000601
HOXC8	HOXC10	0.000615
HOXC8	HOXC4	0.00066
HOXC8	HOXC6	0.00084
HOXC8	HOXC9	0.000883
GUCA1A	GNB5	4e-04
GUCA1A	PDE6G	0.000408
GUCA1A	PDE6H	0.000419
GUCA1A	CASK	0.000443
GUCA1A	GNGT1	0.000451
GUCA1A	RCVRN	0.000459
GUCA1A	PDE6C	0.000472
GUCA1A	CNGB3	0.000475
GUCA1A	PDC	0.000475
GUCA1A	CALML3	0.000499
GUCA1A	SLC24A2	0.000522
GUCA1A	EEF2	0.000543
GUCA1A	PDE6B	0.000559
GUCA1A	SAG	0.000613
GUCA1A	GRK7	0.000651
GUCA1A	CRX	0.000689
GUCA1A	RHO	0.000691
GUCA1A	GRK1	0.000708
GUCA1A	CNGB1	0.000709
GUCA1A	CNGA1	0.000758
GUCA1A	AIPL1	0.000773
GUCA1A	GUCA1C	0.000909
UTS2	NMB	0.00042
UTS2	MLN	0.000457
UTS2	CORT	0.000462
UTS2	PROK2	0.000472
UTS2	SSTR2	0.000474
UTS2	GRP	0.000479
UTS2	CCK	0.000488
UTS2	GNAQ	0.000491
UTS2	PLCB2	0.000499
UTS2	PROKR1	0.000499
UTS2	NTSR2	0.000499
UTS2	F2RL3	0.000499
UTS2	CYSLTR1	0.000499
UTS2	PROKR2	0.000499
UTS2	CCKBR	0.000499
UTS2	NTSR1	0.000499
UTS2	KALRN	0.000499
UTS2	BRS3	0.000499
UTS2	KISS1	5e-04
UTS2	TRIO	5e-04
UTS2	CCKAR	5e-04
UTS2	PLCB3	5e-04
UTS2	MLNR	5e-04
UTS2	CYSLTR2	5e-04
UTS2	AGTR2	5e-04
UTS2	BDKRB1	0.000501
UTS2	NPSR1	0.000507
UTS2	PLCB1	0.000508
UTS2	BTK	0.000513
UTS2	TRHR	0.000514
UTS2	GRPR	0.000514
UTS2	PROK1	0.000514
UTS2	F2RL2	0.000515
UTS2	BDKRB2	0.000516
