id	is_DEG	is_upregulated	is_downregulated	is_key_gene	logFC
TFAP2D	FALSE	FALSE	FALSE	FALSE	0.372889323773163
ERCC1	FALSE	FALSE	FALSE	FALSE	0.020741551432427
GABARAPL2	FALSE	FALSE	FALSE	FALSE	-0.0371458821413446
HOXC8	FALSE	FALSE	FALSE	FALSE	0.450287543592518
GUCA1A	FALSE	FALSE	FALSE	FALSE	0.0694411147350733
UTS2	FALSE	FALSE	FALSE	FALSE	0.0202946714545478
GNA11	FALSE	FALSE	FALSE	FALSE	-0.05417503591298
KCNQ1	FALSE	FALSE	FALSE	FALSE	-0.163355454965938
PRLH	FALSE	FALSE	FALSE	FALSE	-0.184131806372278
EPHA8	FALSE	FALSE	FALSE	FALSE	0.312035743444892
VASH1	FALSE	FALSE	FALSE	FALSE	-0.133409519729408
DRD4	FALSE	FALSE	FALSE	FALSE	0.133463422890702
SCT	FALSE	FALSE	FALSE	FALSE	0.111048256472571
DMRT3	FALSE	FALSE	FALSE	FALSE	0.360932569813653
TFAP2C	FALSE	FALSE	FALSE	FALSE	0.148966980434055
DLL3	TRUE	TRUE	FALSE	FALSE	0.659129341559554
RGS17	FALSE	FALSE	FALSE	FALSE	0.279967847547418
TGM1	FALSE	FALSE	FALSE	FALSE	-0.163239557569737
CDC6	FALSE	FALSE	FALSE	FALSE	0.3846014089181
MAPK13	FALSE	FALSE	FALSE	FALSE	0.0337417900460304
EFNA2	TRUE	TRUE	FALSE	FALSE	0.588143478575609
MAPK12	FALSE	FALSE	FALSE	FALSE	0.0886578818069923
MMP11	TRUE	TRUE	FALSE	FALSE	0.516344572414545
MAPK1	FALSE	FALSE	FALSE	FALSE	-0.0106766548594175
LGALS2	FALSE	FALSE	FALSE	FALSE	-0.166151083961333
CENPM	FALSE	FALSE	FALSE	FALSE	0.273556148177262
MIOX	TRUE	TRUE	FALSE	FALSE	0.518003664593834
BIK	FALSE	FALSE	FALSE	FALSE	0.232047330319631
PVALB	FALSE	FALSE	FALSE	FALSE	-0.195172101154688
POLE2	FALSE	FALSE	FALSE	FALSE	0.27051767081911
BDKRB1	FALSE	FALSE	FALSE	FALSE	0.138758408029951
AURKA	FALSE	FALSE	FALSE	FALSE	0.290188821362777
MYBL2	FALSE	FALSE	FALSE	FALSE	0.457367139439103
PROKR2	FALSE	FALSE	FALSE	FALSE	-0.00247785687128932
OXT	FALSE	FALSE	FALSE	FALSE	0.137276122382087
SLC32A1	FALSE	FALSE	FALSE	FALSE	-0.0570033827027201
