id	degree
A2M	140
A2ML1	19
AASDH	49
ABCA12	14
ABCA3	12
ABCA4	20
ABCG2	82
ACAN	152
ACD	56
ACE	114
ACE2	157
ACHE	67
ACKR1	69
ACKR3	65
ACOT1	3
ACRBP	9
ACTB	381
ACTC1	47
ACTN2	102
ACVR1B	19
ADAM10	63
ADAM12	38
ADAM15	8
ADAM17	66
ADAM19	8
ADAM22	14
ADAM23	11
ADAM33	11
ADAMDEC1	6
ADAMTS1	30
ADAMTS13	55
ADAMTS14	14
ADAMTS2	44
ADAMTS20	6
ADAMTS3	53
ADAMTS4	66
ADAMTS5	60
ADAMTS8	6
ADAMTS9	11
ADAMTSL3	6
ADARB1	23
ADCY1	89
ADCY2	82
ADCY3	89
ADCY4	74
ADCY5	90
ADCY6	78
ADCY8	94
ADCY9	80
ADD3	15
ADGB	16
ADGRA1	12
ADGRA3	3
ADGRD2	1
ADGRF1	6
ADGRF2	3
ADGRF3	1
ADGRF4	5
ADGRF5	9
ADGRG3	4
ADGRG5	5
ADGRG7	1
ADGRL1	43
ADGRL2	44
ADGRL3	48
ADGRV1	20
ADH1A	66
ADH1B	88
ADH1C	70
ADH6	69
ADH7	68
ADIPOQ	130
ADIPOR1	55
ADIPOR2	38
ADM2	22
ADORA1	24
ADORA2A	59
ADORA2B	59
ADPRM	6
ADRA1A	64
ADRA1B	59
ADRA1D	71
ADRA2A	95
ADRA2B	58
ADRA2C	68
ADRB2	91
ADRB3	46
AFP	73
AGBL1	3
AGBL3	1
AGER	67
AGO2	43
AGPAT2	25
AGRP	75
AGT	539
AGTR1	257
AGTR2	247
AGXT	22
AHCYL1	9
AHR	12
AHSP	40
AJUBA	35
AKAP12	16
AKAP14	21
AKAP5	44
AKAP7	12
AKR1A1	7
AKR1B1	49
AKR1B10	38
AKR1B15	9
AKR1C3	46
AKR1D1	19
AKR7A2	5
AKR7A3	5
AKT1	560
ALAS2	47
ALB	614
ALCAM	41
ALDH1A1	58
ALDH1A2	73
ALDH1A3	50
ALDH2	61
ALDH3A2	9
ALDH7A1	29
ALKBH5	10
ALOX12	14
ALOX15	34
ALOXE3	12
ALPG	17
ALPI	23
ALPL	24
ALPP	22
AMBN	12
AMBP	75
AMDHD1	2
AMPH	14
AMTN	16
AMZ1	3
ANGPT1	121
ANGPT2	97
ANGPT4	35
ANGPTL4	75
ANGPTL5	2
ANGPTL7	5
ANGPTL8	13
ANK1	65
ANK3	74
ANKH	3
ANKK1	40
ANKRD1	42
ANKUB1	10
ANO10	1
ANO5	16
ANPEP	80
ANXA1	94
ANXA2	88
ANXA5	104
AOX1	48
APBA1	10
APC	36
APCS	83
APLN	105
APLNR	109
APLP1	13
APOA1	162
APOA2	97
APOA4	75
APOA5	54
APOB	215
APOBEC1	7
APOBEC2	7
APOBEC3A	10
APOBEC3B	9
APOBEC3C	10
APOBEC3D	5
APOBEC3F	9
APOBEC3H	10
APOBEC4	10
APOC2	68
APOC3	106
APOC4	30
APOD	36
APOE	174
APOF	30
APOH	113
APOM	42
APP	260
APPBP2	17
AQP6	3
AR	81
ARHGAP11A	61
ARHGEF12	35
ARHGEF25	115
ARL14	5
ARMC4	33
ARNT2	8
ARR3	39
ARRB1	209
ARRB2	220
ARSI	6
ARSK	3
ART5	4
AS3MT	8
ASB4	19
ASCL1	90
ASIP	8
ASMT	14
ASPM	96
ASPN	45
ATOH1	41
ATOH7	18
ATP10A	8
ATP10B	7
ATP10D	7
ATP11A	9
ATP2A1	28
ATP2B4	21
ATP6AP1L	2
ATP8A1	8
ATXN2	8
AUH	5
AURKB	123
AVIL	1
AVP	131
AVPR1A	36
AVPR2	71
AWAT2	27
AXIN1	88
AXIN2	90
AZGP1	52
AZU1	35
B3GAT2	43
B3GLCT	20
B4GALNT2	5
B4GALNT3	8
B4GALNT4	8
B4GALT1	12
B4GALT2	11
BAD	6
BARHL1	15
BARHL2	13
BARX1	17
BASP1	12
BAZ2A	32
BCAM	2
BCAN	38
BCL11B	45
BCL2	180
BCL2L1	85
BCL2L2	10
BCO1	17
BDH1	5
BDKRB1	142
BDKRB2	146
BDNF	308
BEX1	9
BGLAP	141
BGN	119
BHLHA9	3
BIK	12
BIN1	45
BIRC5	92
BMF	7
BMP1	82
BMP2	197
BMP4	260
BMP5	16
BMP7	145
BMPR1A	33
BMPR1B	25
BNIP3	10
BOC	20
BOK	6
BPGM	29
BPI	25
BPIFA1	18
BPIFA2	13
BPIFC	4
BRCA1	140
BRICD5	1
BRS3	68
BSG	54
BSX	8
BTC	41
BTG2	15
BUB1	103
BUB1B	117
BVES	4
C10orf120	3
C11orf1	28
C11orf16	4
C11orf54	2
C11orf88	25
C12orf40	1
C12orf50	1
C12orf56	20
C15orf65	30
C16orf91	2
C17orf49	1
C19orf57	1
C1R	53
C1S	55
C1orf158	31
C1orf167	16
C1orf189	31
C1orf194	38
C1orf87	10
C2	36
C20orf85	14
C21orf62	15
C22orf42	17
C3	199
C3orf22	17
C4A	99
C4BPA	64
C4BPB	29
C4orf33	1
C5	109
C5AR1	48
C5orf46	6
C5orf49	33
C6	26
C6orf118	17
C6orf136	3
C7	33
C8A	61
C8B	46
C8G	35
C9	54
C9orf116	31
C9orf135	32
C9orf50	7
CA1	40
CA12	20
CA13	7
CA14	7
CA2	26
CA3	10
CA4	39
CA5B	5
CA6	17
CA7	10
CA8	7
CA9	59
CABIN1	12
CACHD1	28
CACNA1A	52
CACNA1B	102
CACNA1C	206
CACNA1D	149
CACNA1F	120
CACNA1G	66
CACNA1H	63
CACNA1I	45
CACNA1S	128
CACNA2D1	53
CACNA2D2	58
CACNA2D4	43
CACNB1	40
CACNB2	73
CACNB3	59
CACNG1	45
CACNG2	86
CACNG3	75
CACNG4	99
CACNG5	55
CACNG6	53
CACNG7	97
CACNG8	75
CADPS	6
CALB1	67
CALB2	106
CALD1	25
CALM1	62
CALM3	242
CALML3	364
CALML4	302
CALML5	375
CALML6	301
CAMK1	14
CAMK1D	15
CAMK2A	112
CAMK2B	53
CAMK2G	39
CAMK2N2	8
CAMK4	35
CAMKK1	9
CAMKK2	16
CAMP	72
CAMTA2	7
CAPN3	35
CAPSL	21
CARTPT	46
CASKIN1	7
CASP14	70
CASP3	172
CASQ1	26
CASQ2	51
CASR	93
CATSPER4	27
CATSPERB	28
CATSPERD	30
CATSPERE	27
CATSPERG	27
CAV2	49
CAV3	148
CAVIN4	7
CBFB	57
CBLC	10
CBLIF	7
CBX1	58
CBX8	41
CBY2	22
CC2D2B	16
CCDC114	34
CCDC141	4
CCDC142	1
CCDC173	33
CCDC190	2
CCDC27	7
CCDC62	5
CCK	99
CCKAR	60
CCKBR	62
CCL1	77
CCL11	110
CCL13	94
CCL16	60
CCL17	93
CCL18	78
CCL19	123
CCL2	361
CCL20	171
CCL21	115
CCL22	100
CCL23	97
CCL24	80
