Gene_A	Gene_B	Score
CPB2	APOH	0.664
CSF3	CEACAM8	0.468
TNNC1	MYH2	0.506
KRT75	KRT6C	0.58
KRT75	KRT6B	0.628
KRT6C	KRT6B	0.655
CPB2	NR0B2	0.613
APOH	NR0B2	0.404
RETN	FABP4	0.661
KRT6B	DSG3	0.734
IBSP	MMP13	0.575
IL36G	MMP13	0.454
SLC6A4	CHRNB4	0.423
HBA2	SLC4A1	0.415
FABP4	SLC27A6	0.612
SSTR4	PCSK2	0.605
SYT4	PCSK2	0.871
BARX1	FGF10	0.463
FGF10	PITX1	0.406
KISS1R	GAL	0.542
NMU	GAL	0.575
LHX5	SFRP5	0.61
PITX1	ZIC5	0.443
CLDN18	SCGB1A1	0.422
KRT75	SCGB1A1	0.461
FGF10	SCGB1A1	0.509
SYT4	GPM6A	0.51
UPK3B	GPM6A	0.449
GPR87	ADGRF4	0.536
ADAMTS8	TMPRSS11D	0.431
GNGT1	ADCY8	0.662
MYOC	WIF1	0.775
SFRP5	WIF1	0.763
ABCA12	PGLYRP3	0.454
RETN	AGRP	0.433
PCSK2	AGRP	0.444
GAL	AGRP	0.569
IBSP	IHH	0.521
MMP13	IHH	0.688
FGF10	IHH	0.506
SFRP5	IHH	0.412
HOXA10	IHH	0.452
WIF1	IHH	0.466
APOH	PF4	0.648
CSF3	PF4	0.424
PPBP	PF4	0.86
ADAMTS8	CLEC3B	0.417
IHH	HHIP	0.989
CSF3	IL22RA2	0.618
HOXA10	RXFP2	0.41
CSF3	MMP3	0.45
IL36G	MMP3	0.473
FGF11	MMP3	0.42
CYP24A1	CA4	0.802
SYT4	CA4	0.572
SLC4A1	CA4	0.426
KRT6C	KRT16	0.513
KRT6B	KRT16	0.747
DSG3	KRT16	0.48
LY6D	KRT16	0.574
SYT4	LGI3	0.535
NR0B2	ONECUT1	0.468
FGF10	ONECUT1	0.418
PPBP	GP9	0.572
PF4	GP9	0.67
MYOC	PITX2	0.511
FGF10	PITX2	0.552
CST4	CST1	0.765
KRT6C	SPRR1B	0.674
KRT6B	SPRR1B	0.731
GRHL3	SPRR1B	0.444
PGLYRP3	SPRR1B	0.492
KRT16	SPRR1B	0.719
GNGT1	CHRM1	0.902
CHRNB4	CHRM1	0.458
SLC6A4	ADH1B	0.422
GPD1	ADH1B	0.418
HOXC13	HOXC10	0.577
RSPO2	TERT	0.575
ADCY8	CALML3	0.687
CLDN18	SFTPC	0.425
FGF10	SFTPC	0.565
SCGB1A1	SFTPC	0.898
TERT	SFTPC	0.465
NEIL3	CDC25C	0.55
HBA2	HBA1	0.995
SLC4A1	HBA1	0.554
SLC6A4	HTR3C	0.403
MMP11	MMP1	0.913
MMP13	MMP1	0.682
MMP3	MMP1	0.953
RETN	ITLN1	0.761
FABP4	ITLN1	0.422
SFRP5	ITLN1	0.406
RETN	MCEMP1	0.617
KISS1R	MCEMP1	0.422
KRT6B	SPRR3	0.468
KRT16	SPRR3	0.487
SPRR1B	SPRR3	0.968
B4GALNT4	SYNDIG1L	0.564
CPB2	ALAS2	0.442
MIOX	ALAS2	0.422
HBA2	ALAS2	0.667
SLC4A1	ALAS2	0.92
HBA1	ALAS2	0.684
ECRG4	TMPRSS11A	0.571
TMPRSS11E	TMPRSS11A	0.412
NEIL3	CENPA	0.561
CDC25C	CENPA	0.793
NMU	EDN3	0.52
CHRM1	EDN3	0.619
SGCG	CAV3	0.84
CALML3	CAV3	0.804
KCNA4	CAV3	0.739
SLC6A4	CYP1A2	0.459
PLA2G1B	CYP1A2	0.668
IL36G	SERPINB4	0.463
KRT16	SERPINB4	0.453
GPM6A	SLC24A2	0.468
HHIP	SLC24A2	0.674
CLEC3B	SCARA5	0.403
CLEC4M	SCARA5	0.502
SLC6A4	HTR3A	0.71
HTR3C	HTR3A	0.868
FGF10	RSPO1	0.669
RSPO2	RSPO1	0.91
TERT	RSPO1	0.618
SYT4	PTPN5	0.415
FREM3	GYPE	0.656
XAGE2	PLAC1	0.459
RBP2	AKR1B10	0.908
ADH1B	AKR1B10	0.498
PGLYRP3	PGLYRP4	0.874
CYP24A1	RXRG	0.478
OTX1	DMBX1	0.442
AGRP	DMBX1	0.607
XAGE2	MAGEA4	0.45
GNGT1	CACNA1S	0.6
KCNA4	CACNA1S	0.406
PPP2R2C	CACNA1S	0.605
CAV3	CACNA1S	0.791
SLC4A1	TRIM58	0.469
ALAS2	TRIM58	0.435
OR2W3	TRIM58	0.613
CDH19	TNR	0.463
ITLN1	ITLN2	0.89
CYP24A1	CYP17A1	0.562
NR0B2	CYP17A1	0.446
CYP1A2	CYP17A1	0.92
EFNA2	NTNG1	0.45
MMP11	COL11A1	0.464
MMP13	COL11A1	0.471
NEIL3	COL11A1	0.451
MMP3	COL11A1	0.426
STYXL2	GABRA3	0.43
CPB2	C8B	0.871
APOH	C8B	0.422
CAV3	ANKRD1	0.663
GNGT1	AGTR2	0.9
SCGB1A1	AGTR2	0.503
CHRM1	AGTR2	0.902
SFTPC	AGTR2	0.637
ADGRF4	WFDC12	0.43
RSPO1	PGC	0.435
CACNA1S	PGC	0.432
OTX1	LHX2	0.613
GJB6	PCDH15	0.486
SCGB1A1	AGER	0.645
HHIP	AGER	0.431
SFTPC	AGER	0.461
HOXC13	FOXE1	0.438
NETO1	FOXE1	0.402
LHX5	ZIC2	0.492
ZIC5	ZIC2	0.649
GRHL3	ZIC2	0.411
LHX2	ZIC2	0.469
GUCA2A	PTPRH	0.466
MYOC	ANGPTL7	0.655
KRT16	KLK6	0.403
SPRR1B	KLK6	0.555
